Year,Units,Series,Value
1970,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",75.0
1971,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",73.0
1972,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",70.5
1973,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",72.0
1974,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",74.4
1975,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",66.7
1976,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",65.4
1977,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",62.5
1978,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",48.7
1979,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",60.1
1980,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",54.8
1981,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",54.4
1982,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",45.2
1983,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",32.8
1984,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",35.5
1985,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1985,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",23.8
1986,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1986,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",25.2
1987,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1987,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",20.6
1988,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1988,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",17.6
1989,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1989,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",25.0
1990,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1990,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",28.5
1991,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1991,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",22.3
1992,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1992,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",28.1
1993,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1993,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",27.8
1994,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1994,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",24.2
1995,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
