Year,Value,Units,Series
2000,704.756831146922,WPERCAP,EG_EGY_RNEW
2001,694.224272704413,WPERCAP,EG_EGY_RNEW
2002,682.30414647512,WPERCAP,EG_EGY_RNEW
2003,713.2058316682,WPERCAP,EG_EGY_RNEW
2004,704.219470948076,WPERCAP,EG_EGY_RNEW
2005,740.5256882160819,WPERCAP,EG_EGY_RNEW
2006,740.7330581426701,WPERCAP,EG_EGY_RNEW
2007,741.009732107655,WPERCAP,EG_EGY_RNEW
2008,739.605447108165,WPERCAP,EG_EGY_RNEW
2009,736.9952635000569,WPERCAP,EG_EGY_RNEW
2010,735.6061386342569,WPERCAP,EG_EGY_RNEW
2011,736.919219538368,WPERCAP,EG_EGY_RNEW
2012,991.833059031767,WPERCAP,EG_EGY_RNEW
2013,995.9670713454179,WPERCAP,EG_EGY_RNEW
2014,1239.91180630668,WPERCAP,EG_EGY_RNEW
2015,1238.92341257122,WPERCAP,EG_EGY_RNEW
2016,1220.42851147031,WPERCAP,EG_EGY_RNEW
2017,1205.67949677393,WPERCAP,EG_EGY_RNEW
2018,1118.26026235722,WPERCAP,EG_EGY_RNEW
2019,1036.35398438882,WPERCAP,EG_EGY_RNEW
2020,1150.09482525061,WPERCAP,EG_EGY_RNEW
2021,1224.65314834578,WPERCAP,EG_EGY_RNEW
2022,1200.50815159856,WPERCAP,EG_EGY_RNEW
