Year,Value,Units,Series
2000,704.756831146922,WATTS,EG_EGY_RNEW
2001,694.2318625092929,WATTS,EG_EGY_RNEW
2002,682.311477875916,WATTS,EG_EGY_RNEW
2003,713.2133719577951,WATTS,EG_EGY_RNEW
2004,704.2415258218409,WATTS,EG_EGY_RNEW
2005,740.556402359992,WATTS,EG_EGY_RNEW
2006,740.756106414977,WATTS,EG_EGY_RNEW
2007,741.032797601137,WATTS,EG_EGY_RNEW
2008,739.628425260454,WATTS,EG_EGY_RNEW
2009,737.002868759416,WATTS,EG_EGY_RNEW
2010,735.613715250955,WATTS,EG_EGY_RNEW
2011,736.926823228363,WATTS,EG_EGY_RNEW
2012,991.863859387616,WATTS,EG_EGY_RNEW
2013,996.0291885823581,WATTS,EG_EGY_RNEW
2014,1239.97628631159,WATTS,EG_EGY_RNEW
2015,1238.96184469031,WATTS,EG_EGY_RNEW
2016,1220.44100485228,WATTS,EG_EGY_RNEW
2017,1205.70388349515,WATTS,EG_EGY_RNEW
2018,1118.3160415004,WATTS,EG_EGY_RNEW
2019,1036.43549560533,WATTS,EG_EGY_RNEW
2020,1150.1727291201,WATTS,EG_EGY_RNEW
2021,1224.74651215979,WATTS,EG_EGY_RNEW
2022,1200.85962562681,WATTS,EG_EGY_RNEW
