Year,Value,Units,Series
1986,0.043944936993947,NO,SH_HIV_INCD
1987,0.065277702224882,NO,SH_HIV_INCD
1988,0.021476971317505,NO,SH_HIV_INCD
1989,0.021173207423327,NO,SH_HIV_INCD
1990,0.062926721832426,NO,SH_HIV_INCD
1991,0.0,NO,SH_HIV_INCD
1992,0.0,NO,SH_HIV_INCD
1993,0.085159834364122,NO,SH_HIV_INCD
1994,0.021739603034849,NO,SH_HIV_INCD
1995,0.0,NO,SH_HIV_INCD
1996,0.022996699973554,NO,SH_HIV_INCD
1997,0.0,NO,SH_HIV_INCD
1998,0.0,NO,SH_HIV_INCD
1999,0.0,NO,SH_HIV_INCD
2000,0.022196080172242,NO,SH_HIV_INCD
2001,0.0,NO,SH_HIV_INCD
2002,0.0,NO,SH_HIV_INCD
2003,0.0211420960274,NO,SH_HIV_INCD
2004,0.041751474348938,NO,SH_HIV_INCD
2005,0.0,NO,SH_HIV_INCD
2006,0.0,NO,SH_HIV_INCD
2007,0.0,NO,SH_HIV_INCD
2008,0.0,NO,SH_HIV_INCD
2009,0.0,NO,SH_HIV_INCD
2010,0.0,NO,SH_HIV_INCD
2011,0.020631105517789,NO,SH_HIV_INCD
2012,0.0,NO,SH_HIV_INCD
2013,0.0,NO,SH_HIV_INCD
2014,0.0,NO,SH_HIV_INCD
2015,0.0,NO,SH_HIV_INCD
2016,0.020462870122163,NO,SH_HIV_INCD
2017,0.0,NO,SH_HIV_INCD
2018,0.0,NO,SH_HIV_INCD
2019,0.0,NO,SH_HIV_INCD
2020,0.0,NO,SH_HIV_INCD
2021,0.038095600910485,NO,SH_HIV_INCD
