Year,Value,Units,Series
1998,71.917132522197,PCT,GR_G14_GDP
1999,77.930813581038,PCT,GR_G14_GDP
2000,77.694834278889,PCT,GR_G14_GDP
2001,80.655919955531,PCT,GR_G14_GDP
2002,78.509883426254,PCT,GR_G14_GDP
2003,76.30201844007,PCT,GR_G14_GDP
2004,74.054982817869,PCT,GR_G14_GDP
2005,72.807858169621,PCT,GR_G14_GDP
2006,78.363511345405,PCT,GR_G14_GDP
2007,80.375647668394,PCT,GR_G14_GDP
2008,73.976432993809,PCT,GR_G14_GDP
2009,67.144540455617,PCT,GR_G14_GDP
2010,69.020897832817,PCT,GR_G14_GDP
2011,71.152373660031,PCT,GR_G14_GDP
2012,70.059656972409,PCT,GR_G14_GDP
2013,67.536646406864,PCT,GR_G14_GDP
2014,71.119133574007,PCT,GR_G14_GDP
2015,75.620203462431,PCT,GR_G14_GDP
2016,78.874956461163,PCT,GR_G14_GDP
2017,82.169117647059,PCT,GR_G14_GDP
2018,79.640533002789,PCT,GR_G14_GDP
2019,80.93455144526,PCT,GR_G14_GDP
2020,74.504748982361,PCT,GR_G14_GDP
2021,76.982872200264,PCT,GR_G14_GDP
2022,78.555332999499,PCT,GR_G14_GDP
2023,74.862385321101,PCT,GR_G14_GDP
2024,76.872783687943,PCT,GR_G14_GDP
