Year,Series,flokkur,eind,Value
2004,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Klaksvíkar kommuna,Tal av sætum,
2008,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Klaksvíkar kommuna,Tal av sætum,
2011,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Klaksvíkar kommuna,Tal av sætum,
2012,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Klaksvíkar kommuna,Tal av sætum,
2015,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Klaksvíkar kommuna,Tal av sætum,
2016,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Klaksvíkar kommuna,Tal av sætum,
2019,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Klaksvíkar kommuna,Tal av sætum,
2020,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Klaksvíkar kommuna,Tal av sætum,
2022,Løgting,Klaksvíkar kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Klaksvíkar kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Klaksvíkar kommuna,Tal av sætum,
1984,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Kollafjarðar kommuna,Tal av sætum,
1988,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Kollafjarðar kommuna,Tal av sætum,
1990,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Kollafjarðar kommuna,Tal av sætum,
1992,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Kollafjarðar kommuna,Tal av sætum,
1994,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
1994,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
1994,Løgting,Kollafjarðar kommuna,Tal av sætum,
1996,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
1996,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
1996,Løgting,Kollafjarðar kommuna,Tal av sætum,
1998,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
1998,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
1998,Løgting,Kollafjarðar kommuna,Tal av sætum,
2000,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2000,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2000,Løgting,Kollafjarðar kommuna,Tal av sætum,
2002,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2002,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2002,Løgting,Kollafjarðar kommuna,Tal av sætum,
2004,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Kollafjarðar kommuna,Tal av sætum,
2008,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Kollafjarðar kommuna,Tal av sætum,
2011,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Kollafjarðar kommuna,Tal av sætum,
2012,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Kollafjarðar kommuna,Tal av sætum,
2015,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Kollafjarðar kommuna,Tal av sætum,
2016,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Kollafjarðar kommuna,Tal av sætum,
2019,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Kollafjarðar kommuna,Tal av sætum,
2020,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Kollafjarðar kommuna,Tal av sætum,
2022,Løgting,Kollafjarðar kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Kollafjarðar kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Kollafjarðar kommuna,Tal av sætum,
1984,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Kunoyar kommuna,Tal av sætum,
1988,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Kunoyar kommuna,Tal av sætum,
1990,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Kunoyar kommuna,Tal av sætum,
1992,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Kunoyar kommuna,Tal av sætum,
1994,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
1994,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
1994,Løgting,Kunoyar kommuna,Tal av sætum,
1996,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
1996,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
1996,Løgting,Kunoyar kommuna,Tal av sætum,
1998,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
1998,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
1998,Løgting,Kunoyar kommuna,Tal av sætum,
2000,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2000,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2000,Løgting,Kunoyar kommuna,Tal av sætum,
2002,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2002,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2002,Løgting,Kunoyar kommuna,Tal av sætum,
2004,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Kunoyar kommuna,Tal av sætum,
2008,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Kunoyar kommuna,Tal av sætum,
2011,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Kunoyar kommuna,Tal av sætum,
2012,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Kunoyar kommuna,Tal av sætum,
2015,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Kunoyar kommuna,Tal av sætum,
2016,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Kunoyar kommuna,Tal av sætum,
2019,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Kunoyar kommuna,Tal av sætum,
2020,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Kunoyar kommuna,Tal av sætum,
2022,Løgting,Kunoyar kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Kunoyar kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Kunoyar kommuna,Tal av sætum,
1984,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Kvívíkar kommuna,Tal av sætum,
1988,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Kvívíkar kommuna,Tal av sætum,
1990,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Kvívíkar kommuna,Tal av sætum,
1992,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Kvívíkar kommuna,Tal av sætum,
1994,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
1994,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
1994,Løgting,Kvívíkar kommuna,Tal av sætum,
1996,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
1996,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
1996,Løgting,Kvívíkar kommuna,Tal av sætum,
1998,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
1998,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
1998,Løgting,Kvívíkar kommuna,Tal av sætum,
2000,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2000,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2000,Løgting,Kvívíkar kommuna,Tal av sætum,
2002,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2002,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2002,Løgting,Kvívíkar kommuna,Tal av sætum,
2004,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Kvívíkar kommuna,Tal av sætum,
2008,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Kvívíkar kommuna,Tal av sætum,
2011,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Kvívíkar kommuna,Tal av sætum,
2012,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Kvívíkar kommuna,Tal av sætum,
2015,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Kvívíkar kommuna,Tal av sætum,
2016,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Kvívíkar kommuna,Tal av sætum,
2019,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Kvívíkar kommuna,Tal av sætum,
2020,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Kvívíkar kommuna,Tal av sætum,
2022,Løgting,Kvívíkar kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Kvívíkar kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Kvívíkar kommuna,Tal av sætum,
1984,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Leirvíkar kommuna,Tal av sætum,
1988,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Leirvíkar kommuna,Tal av sætum,
1990,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Leirvíkar kommuna,Tal av sætum,
1992,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Leirvíkar kommuna,Tal av sætum,
1994,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
1994,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
1994,Løgting,Leirvíkar kommuna,Tal av sætum,
1996,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
1996,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
1996,Løgting,Leirvíkar kommuna,Tal av sætum,
1998,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
1998,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
1998,Løgting,Leirvíkar kommuna,Tal av sætum,
2000,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2000,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2000,Løgting,Leirvíkar kommuna,Tal av sætum,
2002,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2002,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2002,Løgting,Leirvíkar kommuna,Tal av sætum,
2004,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Leirvíkar kommuna,Tal av sætum,
2008,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Leirvíkar kommuna,Tal av sætum,
2011,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Leirvíkar kommuna,Tal av sætum,
2012,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Leirvíkar kommuna,Tal av sætum,
2015,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Leirvíkar kommuna,Tal av sætum,
2016,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Leirvíkar kommuna,Tal av sætum,
2019,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Leirvíkar kommuna,Tal av sætum,
2020,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Leirvíkar kommuna,Tal av sætum,
2022,Løgting,Leirvíkar kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Leirvíkar kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Leirvíkar kommuna,Tal av sætum,
1984,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Miðvágs kommuna,Tal av sætum,
1988,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Miðvágs kommuna,Tal av sætum,
1990,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Miðvágs kommuna,Tal av sætum,
1992,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Miðvágs kommuna,Tal av sætum,
1994,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
1994,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
1994,Løgting,Miðvágs kommuna,Tal av sætum,
1996,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
1996,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
1996,Løgting,Miðvágs kommuna,Tal av sætum,
1998,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
1998,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
1998,Løgting,Miðvágs kommuna,Tal av sætum,
2000,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2000,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2000,Løgting,Miðvágs kommuna,Tal av sætum,
2002,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2002,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2002,Løgting,Miðvágs kommuna,Tal av sætum,
2004,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Miðvágs kommuna,Tal av sætum,
2008,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Miðvágs kommuna,Tal av sætum,
2011,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Miðvágs kommuna,Tal av sætum,
2012,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Miðvágs kommuna,Tal av sætum,
2015,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Miðvágs kommuna,Tal av sætum,
2016,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Miðvágs kommuna,Tal av sætum,
2019,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Miðvágs kommuna,Tal av sætum,
2020,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Miðvágs kommuna,Tal av sætum,
2022,Løgting,Miðvágs kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Miðvágs kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Miðvágs kommuna,Tal av sætum,
1984,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Mikladals kommuna,Tal av sætum,
1988,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Mikladals kommuna,Tal av sætum,
1990,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Mikladals kommuna,Tal av sætum,
1992,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Mikladals kommuna,Tal av sætum,
1994,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
1994,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
1994,Løgting,Mikladals kommuna,Tal av sætum,
1996,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
1996,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
1996,Løgting,Mikladals kommuna,Tal av sætum,
1998,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
1998,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
1998,Løgting,Mikladals kommuna,Tal av sætum,
2000,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2000,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2000,Løgting,Mikladals kommuna,Tal av sætum,
2002,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2002,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2002,Løgting,Mikladals kommuna,Tal av sætum,
2004,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Mikladals kommuna,Tal av sætum,
2008,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Mikladals kommuna,Tal av sætum,
2011,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Mikladals kommuna,Tal av sætum,
2012,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Mikladals kommuna,Tal av sætum,
2015,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Mikladals kommuna,Tal av sætum,
2016,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Mikladals kommuna,Tal av sætum,
2019,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Mikladals kommuna,Tal av sætum,
2020,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Mikladals kommuna,Tal av sætum,
2022,Løgting,Mikladals kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Mikladals kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Mikladals kommuna,Tal av sætum,
1984,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Mykines kommuna,Tal av sætum,
1988,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Mykines kommuna,Tal av sætum,
1990,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Mykines kommuna,Tal av sætum,
1992,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Mykines kommuna,Tal av sætum,
1994,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
1994,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
1994,Løgting,Mykines kommuna,Tal av sætum,
1996,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
1996,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
1996,Løgting,Mykines kommuna,Tal av sætum,
1998,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
1998,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
1998,Løgting,Mykines kommuna,Tal av sætum,
2000,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2000,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2000,Løgting,Mykines kommuna,Tal av sætum,
2002,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2002,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2002,Løgting,Mykines kommuna,Tal av sætum,
2004,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2004,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2004,Løgting,Mykines kommuna,Tal av sætum,
2008,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2008,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2008,Løgting,Mykines kommuna,Tal av sætum,
2011,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2011,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2011,Løgting,Mykines kommuna,Tal av sætum,
2012,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2012,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2012,Løgting,Mykines kommuna,Tal av sætum,
2015,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2015,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2015,Løgting,Mykines kommuna,Tal av sætum,
2016,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2016,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2016,Løgting,Mykines kommuna,Tal av sætum,
2019,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2019,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2019,Løgting,Mykines kommuna,Tal av sætum,
2020,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2020,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2020,Løgting,Mykines kommuna,Tal av sætum,
2022,Løgting,Mykines kommuna,Partur av sætum hjá kvinnum,
2022,Løgting,Mykines kommuna,Tal av sætum hjá kvinnum,
2022,Løgting,Mykines kommuna,Tal av sætum,
1984,Løgting,Nes kommuna,Partur av sætum hjá kvinnum,
1984,Løgting,Nes kommuna,Tal av sætum hjá kvinnum,
1984,Løgting,Nes kommuna,Tal av sætum,
1988,Løgting,Nes kommuna,Partur av sætum hjá kvinnum,
1988,Løgting,Nes kommuna,Tal av sætum hjá kvinnum,
1988,Løgting,Nes kommuna,Tal av sætum,
1990,Løgting,Nes kommuna,Partur av sætum hjá kvinnum,
1990,Løgting,Nes kommuna,Tal av sætum hjá kvinnum,
1990,Løgting,Nes kommuna,Tal av sætum,
1992,Løgting,Nes kommuna,Partur av sætum hjá kvinnum,
1992,Løgting,Nes kommuna,Tal av sætum hjá kvinnum,
1992,Løgting,Nes kommuna,Tal av sætum,
