Year,Series,source,Units,Main source,Value
1991,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.649500646113681
1992,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.639027662180703
1993,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.52929408321815
1994,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.534333646221
1995,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.5402720946784
1996,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.5605491678375
1997,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.55615165653305
1998,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.59983566158405
1999,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.629143491564801
2000,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.66579216419915
2001,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.839860745188
2002,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.7888216140052
2003,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.792799701734
2004,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.794639788581
2005,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.792993759811
2006,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.77987341884
2007,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.806591333089
2008,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.739940645677
2009,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.77145324394
2010,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.84746971989
2011,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.73008170643
2012,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.816465326155
2013,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.788829216612
2014,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.818944348526
