Year,Series,source,Units,Main source,Value
1996,,Energy industries,,Fuel combustion,0.09414801387
1996,,Manufacturing industries and construction,,Fuel combustion,0.038301975075
1996,,Transport sector,,Fuel combustion,0.0931278083925
1996,,Other sectors,,Fuel combustion,0.3349713705
1996,,,,International Bunkers,0.142483516596
1996,,Aviation,,International Bunkers,0.000285037056
1996,,Navigation,,International Bunkers,0.14219847954
1997,,,,,0.69456920981705
1997,,,,Fuel combustion,0.55615165653305
1997,,Energy industries,,Fuel combustion,0.0881624934
1997,,Manufacturing industries and construction,,Fuel combustion,0.038049228105
1997,,Transport sector,,Fuel combustion,0.10240660792805
1997,,Other sectors,,Fuel combustion,0.3275333271
1997,,,,International Bunkers,0.138417553284
1997,,Aviation,,International Bunkers,0.000294508224
1997,,Navigation,,International Bunkers,0.13812304506
1998,,,,,0.71246999784605
1998,,,,Fuel combustion,0.59983566158405
1998,,Energy industries,,Fuel combustion,0.09893784747
1998,,Manufacturing industries and construction,,Fuel combustion,0.0545321715
1998,,Transport sector,,Fuel combustion,0.09563615414405
1998,,Other sectors,,Fuel combustion,0.35072948847
1998,,,,International Bunkers,0.112634336262
1998,,Aviation,,International Bunkers,0.000441912672
1998,,Navigation,,International Bunkers,0.11219242359
1999,,,,,0.751230389838801
1999,,,,Fuel combustion,0.629143491564801
1999,,Energy industries,,Fuel combustion,0.101023648755
1999,,Manufacturing industries and construction,,Fuel combustion,0.053016662445
1999,,Transport sector,,Fuel combustion,0.0977985222848
1999,,Other sectors,,Fuel combustion,0.377304658080001
1999,,,,International Bunkers,0.122086898274
1999,,Aviation,,International Bunkers,0.000591797664
1999,,Navigation,,International Bunkers,0.12149510061
2000,,,,,0.80243466928115
2000,,,,Fuel combustion,0.66579216419915
2000,,Energy industries,,Fuel combustion,0.119628294135
2000,,Manufacturing industries and construction,,Fuel combustion,0.05983688826
2000,,Transport sector,,Fuel combustion,0.09920080678415
2000,,Other sectors,,Fuel combustion,0.38712617502
2000,,,,International Bunkers,0.136642505082
2000,,Aviation,,International Bunkers,0.000875256192
2000,,Navigation,,International Bunkers,0.13576724889
2001,,,,,0.9686409136
2001,,,,Fuel combustion,0.839860745188
2001,,Energy industries,,Fuel combustion,0.16376604616
2001,,Manufacturing industries and construction,,Fuel combustion,0.06907568484
2001,,Transport sector,,Fuel combustion,0.112697252658
2001,,Other sectors,,Fuel combustion,0.49432176153
2001,,,,International Bunkers,0.128780168412
2001,,Aviation,,International Bunkers,0.001476976032
2001,,Navigation,,International Bunkers,0.12730319238
2002,,,,,0.8679660099052
2002,,,,Fuel combustion,0.7888216140052
2002,,Energy industries,,Fuel combustion,0.1272060898152
2002,,Manufacturing industries and construction,,Fuel combustion,0.06820554825
2002,,Transport sector,,Fuel combustion,0.11719925776
2002,,Other sectors,,Fuel combustion,0.47621071818
2002,,,,International Bunkers,0.0791443959
2002,,Aviation,,International Bunkers,0.0011500704
2002,,Navigation,,International Bunkers,0.0779943255
2003,,,,,0.86260166043
2003,,,,Fuel combustion,0.792799701734
2003,,Energy industries,,Fuel combustion,0.133812020875
2003,,Manufacturing industries and construction,,Fuel combustion,0.078875361255
2003,,Transport sector,,Fuel combustion,0.112887523804
2003,,Other sectors,,Fuel combustion,0.4672247958
2003,,,,International Bunkers,0.069801958696
2003,,Aviation,,International Bunkers,0.001249442496
2003,,Navigation,,International Bunkers,0.06864365508
2004,,,,,0.873660853905
2004,,,,Fuel combustion,0.794639788581
2004,,Energy industries,,Fuel combustion,0.123183701805
2004,,Manufacturing industries and construction,,Fuel combustion,0.07415015961
2004,,Transport sector,,Fuel combustion,0.118573263096
2004,,Other sectors,,Fuel combustion,0.47873266407
2004,,,,International Bunkers,0.079021065324
2004,,Aviation,,International Bunkers,0.001153302624
2004,,Navigation,,International Bunkers,0.0778677627
2005,,,,,0.861135956725
2005,,,,Fuel combustion,0.792993759811
2005,,Energy industries,,Fuel combustion,0.11261801682
2005,,Manufacturing industries and construction,,Fuel combustion,0.065982257355
2005,,Transport sector,,Fuel combustion,0.124653204136
2005,,Other sectors,,Fuel combustion,0.4897402815
2005,,,,International Bunkers,0.068142196914
2005,,Aviation,,International Bunkers,0.001206296064
2005,,Navigation,,International Bunkers,0.06693590085
2006,,,,,0.8072381841
2006,,,,Fuel combustion,0.77987341884
2006,,Energy industries,,Fuel combustion,0.12235531907
2006,,Manufacturing industries and construction,,Fuel combustion,0.06029952882
2006,,Transport sector,,Fuel combustion,0.11974667788
2006,,Other sectors,,Fuel combustion,0.47747189307
2006,,,,International Bunkers,0.02736476526
2006,,Aviation,,International Bunkers,0.00128650032
2006,,Navigation,,International Bunkers,0.02607826494
2007,,,,,0.830285483365
2007,,,,Fuel combustion,0.806591333089
2007,,Energy industries,,Fuel combustion,0.12891307682
2007,,Manufacturing industries and construction,,Fuel combustion,0.061171904745
2007,,Transport sector,,Fuel combustion,0.138906262514
2007,,Other sectors,,Fuel combustion,0.47760008901
2007,,,,International Bunkers,0.023694150276
2007,,Aviation,,International Bunkers,0.001045737216
2007,,Navigation,,International Bunkers,0.02264841306
2008,,,,,0.761614112785
2008,,,,Fuel combustion,0.739940645677
2008,,Energy industries,,Fuel combustion,0.136896103115
2008,,Manufacturing industries and construction,,Fuel combustion,0.05620738158
2008,,Transport sector,,Fuel combustion,0.142791899042
2008,,Other sectors,,Fuel combustion,0.40404526194
2008,,,,International Bunkers,0.021673467108
2008,,Aviation,,International Bunkers,0.000999433728
2008,,Navigation,,International Bunkers,0.02067403338
2009,,,,,0.83575398112
2009,,,,Fuel combustion,0.77145324394
2009,,Energy industries,,Fuel combustion,0.131608640235
2009,,Manufacturing industries and construction,,Fuel combustion,0.043329031035
2009,,Transport sector,,Fuel combustion,0.13761590422
2009,,Other sectors,,Fuel combustion,0.45889966845
2009,,,,International Bunkers,0.06430073718
2009,,Aviation,,International Bunkers,0.000745416
2009,,Navigation,,International Bunkers,0.06355532118
2010,,,,,0.8835445323
2010,,,,Fuel combustion,0.84746971989
2010,,Energy industries,,Fuel combustion,0.16400114503
2010,,Manufacturing industries and construction,,Fuel combustion,0.04375500066
2010,,Transport sector,,Fuel combustion,0.13294381649
2010,,Other sectors,,Fuel combustion,0.50676975771
2010,,,,International Bunkers,0.03607481241
2010,,Aviation,,International Bunkers,0.000773604
2010,,Navigation,,International Bunkers,0.03530120841
2011,,,,,0.77399522424
2011,,,,Fuel combustion,0.73008170643
2011,,Energy industries,,Fuel combustion,0.1333468026
2011,,Manufacturing industries and construction,,Fuel combustion,0.04339047174
2011,,Transport sector,,Fuel combustion,0.13661417121
2011,,Other sectors,,Fuel combustion,0.41673026088
2011,,,,International Bunkers,0.04391351781
2011,,Aviation,,International Bunkers,0.001199556
2011,,Navigation,,International Bunkers,0.04271396181
2012,,,,,0.870822707815
2012,,,,Fuel combustion,0.816465326155
2012,,Energy industries,,Fuel combustion,0.148784378609
2012,,Manufacturing industries and construction,,Fuel combustion,0.048901583076
2012,,Transport sector,,Fuel combustion,0.13247992916
2012,,Other sectors,,Fuel combustion,0.48629943531
2012,,,,International Bunkers,0.05435738166
2012,,Aviation,,International Bunkers,0.001293516
2012,,Navigation,,International Bunkers,0.05306386566
2013,,,,,0.808483916232
2013,,,,Fuel combustion,0.788829216612
2013,,Energy industries,,Fuel combustion,0.13659414299
2013,,Manufacturing industries and construction,,Fuel combustion,0.049824989682
2013,,Transport sector,,Fuel combustion,0.12495354328
2013,,Other sectors,,Fuel combustion,0.47745654066
2013,,,,International Bunkers,0.01965469962
2013,,Aviation,,International Bunkers,0.001130652
2013,,Navigation,,International Bunkers,0.01852404762
2014,,,,,0.849716660636
2014,,,,Fuel combustion,0.818944348526
2014,,Energy industries,,Fuel combustion,0.12454809929
2014,,Manufacturing industries and construction,,Fuel combustion,0.060787479366
2014,,Transport sector,,Fuel combustion,0.12952569183
2014,,Other sectors,,Fuel combustion,0.50408307804
2014,,,,International Bunkers,0.03077231211
2014,,Aviation,,International Bunkers,0.000836244
2014,,Navigation,,International Bunkers,0.02993606811
2015,,,,,0.806052373556
2015,,,,Fuel combustion,0.788962581566
2015,,Energy industries,,Fuel combustion,0.102133592949
2015,,Manufacturing industries and construction,,Fuel combustion,0.063252240597
2015,,Transport sector,,Fuel combustion,0.12740415497
2015,,Other sectors,,Fuel combustion,0.49617259305
2015,,,,International Bunkers,0.01708979199
2015,,Aviation,,International Bunkers,0.000441612
2015,,Navigation,,International Bunkers,0.01664817999
2016,,,,,0.83605807704
2016,,,,Fuel combustion,0.787743280707
2016,,Energy industries,,Fuel combustion,0.125549164776
2016,,Manufacturing industries and construction,,Fuel combustion,0.064846592931
2016,,Transport sector,,Fuel combustion,0.1473393891
2016,,Other sectors,,Fuel combustion,0.4500081339
2016,,,,International Bunkers,0.048314796333
2016,,Aviation,,International Bunkers,0.000726624
2016,,Navigation,,International Bunkers,0.047588172333
2017,,,,,1.001444353881
2017,,,,Fuel combustion,0.949482067611
2017,,Energy industries,,Fuel combustion,0.1243864284385
2017,,Manufacturing industries and construction,,Fuel combustion,0.0856012244325
2017,,Transport sector,,Fuel combustion,0.15024302162
2017,,Other sectors,,Fuel combustion,0.58925139312
2017,,,,International Bunkers,0.05196228627
2017,,Aviation,,International Bunkers,0.000645192
2017,,Navigation,,International Bunkers,0.05131709427
2018,,,,,1.107306905731
2018,,,,Fuel combustion,1.045891919731
2018,,Energy industries,,Fuel combustion,0.136632088308
2018,,Manufacturing industries and construction,,Fuel combustion,0.081812712693
2018,,Transport sector,,Fuel combustion,0.15927373909
2018,,Other sectors,,Fuel combustion,0.66817337964
2018,,,,International Bunkers,0.061414986
2018,,Aviation,,International Bunkers,0.000786132
2018,,Navigation,,International Bunkers,0.060628854
2019,,,,,1.132443546626
2019,,,,Fuel combustion,1.088968975166
2019,,Energy industries,,Fuel combustion,0.175797183088
2019,,Manufacturing industries and construction,,Fuel combustion,0.079782782148
2019,,Transport sector,,Fuel combustion,0.168582067
2019,,Other sectors,,Fuel combustion,0.66480694293
2019,,,,International Bunkers,0.04347457146
2019,,Aviation,,International Bunkers,0.000757944
2019,,Navigation,,International Bunkers,0.04271662746
2020,,,,,1.1896239732705
2020,,,,Fuel combustion,1.1279217339405
2020,,Energy industries,,Fuel combustion,0.1855299820295
2020,,Manufacturing industries and construction,,Fuel combustion,0.085318415931
2020,,Transport sector,,Fuel combustion,0.16794943687
2020,,Other sectors,,Fuel combustion,0.68912389911
2020,,,,International Bunkers,0.06170223933
2020,,Aviation,,International Bunkers,0.000216108
2020,,Navigation,,International Bunkers,0.06148613133
2021,,,,,1.211718906745
2021,,,,Fuel combustion,1.130188369615
2021,,Energy industries,,Fuel combustion,0.1928290093225
2021,,Manufacturing industries and construction,,Fuel combustion,0.0675467873025
2021,,Transport sector,,Fuel combustion,0.17080696137
2021,,Other sectors,,Fuel combustion,0.69900561162
2021,,,,International Bunkers,0.08153053713
2021,,Aviation,,International Bunkers,0.000416556
2021,,Navigation,,International Bunkers,0.08111398113
