Year,Høvuðskelda,Kelda,Value
1999,Bunkring,Skip,0.1
2000,,,0.8
2000,Nýtsla av brennievni,,0.7
2000,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2000,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2000,Nýtsla av brennievni,Flutningsvinna,0.1
2000,Nýtsla av brennievni,Aðrar vinnur,0.4
2000,Bunkring,,0.1
2000,Bunkring,Flogfør,0.0
2000,Bunkring,Skip,0.1
2001,,,1.0
2001,Nýtsla av brennievni,,0.8
2001,Nýtsla av brennievni,El- og hitaframleiðsla,0.2
2001,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2001,Nýtsla av brennievni,Flutningsvinna,0.1
2001,Nýtsla av brennievni,Aðrar vinnur,0.5
2001,Bunkring,,0.1
2001,Bunkring,Flogfør,0.0
2001,Bunkring,Skip,0.1
2002,,,0.9
2002,Nýtsla av brennievni,,0.8
2002,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2002,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2002,Nýtsla av brennievni,Flutningsvinna,0.1
2002,Nýtsla av brennievni,Aðrar vinnur,0.5
2002,Bunkring,,0.1
2002,Bunkring,Flogfør,0.0
2002,Bunkring,Skip,0.1
2003,,,0.9
2003,Nýtsla av brennievni,,0.8
2003,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2003,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2003,Nýtsla av brennievni,Flutningsvinna,0.1
2003,Nýtsla av brennievni,Aðrar vinnur,0.5
2003,Bunkring,,0.1
2003,Bunkring,Flogfør,0.0
2003,Bunkring,Skip,0.1
2004,,,0.9
2004,Nýtsla av brennievni,,0.8
2004,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2004,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2004,Nýtsla av brennievni,Flutningsvinna,0.1
2004,Nýtsla av brennievni,Aðrar vinnur,0.5
2004,Bunkring,,0.1
2004,Bunkring,Flogfør,0.0
2004,Bunkring,Skip,0.1
2005,,,0.9
2005,Nýtsla av brennievni,,0.8
2005,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2005,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2005,Nýtsla av brennievni,Flutningsvinna,0.1
2005,Nýtsla av brennievni,Aðrar vinnur,0.5
2005,Bunkring,,0.1
2005,Bunkring,Flogfør,0.0
2005,Bunkring,Skip,0.1
2006,,,0.8
2006,Nýtsla av brennievni,,0.8
2006,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2006,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2006,Nýtsla av brennievni,Flutningsvinna,0.1
2006,Nýtsla av brennievni,Aðrar vinnur,0.5
2006,Bunkring,,0.0
2006,Bunkring,Flogfør,0.0
2006,Bunkring,Skip,0.0
2007,,,0.8
2007,Nýtsla av brennievni,,0.8
2007,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2007,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2007,Nýtsla av brennievni,Flutningsvinna,0.1
2007,Nýtsla av brennievni,Aðrar vinnur,0.5
2007,Bunkring,,0.0
2007,Bunkring,Flogfør,0.0
2007,Bunkring,Skip,0.0
2008,,,0.8
2008,Nýtsla av brennievni,,0.7
2008,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2008,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2008,Nýtsla av brennievni,Flutningsvinna,0.1
2008,Nýtsla av brennievni,Aðrar vinnur,0.4
2008,Bunkring,,0.0
2008,Bunkring,Flogfør,0.0
2008,Bunkring,Skip,0.0
2009,,,0.8
2009,Nýtsla av brennievni,,0.8
2009,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2009,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.0
2009,Nýtsla av brennievni,Flutningsvinna,0.1
2009,Nýtsla av brennievni,Aðrar vinnur,0.5
2009,Bunkring,,0.1
2009,Bunkring,Flogfør,0.0
2009,Bunkring,Skip,0.1
2010,,,0.9
2010,Nýtsla av brennievni,,0.8
2010,Nýtsla av brennievni,El- og hitaframleiðsla,0.2
2010,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.0
2010,Nýtsla av brennievni,Flutningsvinna,0.1
2010,Nýtsla av brennievni,Aðrar vinnur,0.5
2010,Bunkring,,0.0
2010,Bunkring,Flogfør,0.0
2010,Bunkring,Skip,0.0
2011,,,0.8
2011,Nýtsla av brennievni,,0.7
2011,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2011,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.0
2011,Nýtsla av brennievni,Flutningsvinna,0.1
2011,Nýtsla av brennievni,Aðrar vinnur,0.4
2011,Bunkring,,0.0
2011,Bunkring,Flogfør,0.0
2011,Bunkring,Skip,0.0
2012,,,0.9
2012,Nýtsla av brennievni,,0.8
2012,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2012,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.0
2012,Nýtsla av brennievni,Flutningsvinna,0.1
2012,Nýtsla av brennievni,Aðrar vinnur,0.5
2012,Bunkring,,0.1
2012,Bunkring,Flogfør,0.0
2012,Bunkring,Skip,0.1
2013,,,0.8
2013,Nýtsla av brennievni,,0.8
2013,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2013,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.0
2013,Nýtsla av brennievni,Flutningsvinna,0.1
2013,Nýtsla av brennievni,Aðrar vinnur,0.5
2013,Bunkring,,0.0
2013,Bunkring,Flogfør,0.0
2013,Bunkring,Skip,0.0
2014,,,0.8
2014,Nýtsla av brennievni,,0.8
2014,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2014,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2014,Nýtsla av brennievni,Flutningsvinna,0.1
2014,Nýtsla av brennievni,Aðrar vinnur,0.5
2014,Bunkring,,0.0
2014,Bunkring,Flogfør,0.0
2014,Bunkring,Skip,0.0
2015,,,0.8
2015,Nýtsla av brennievni,,0.8
2015,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2015,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2015,Nýtsla av brennievni,Flutningsvinna,0.1
2015,Nýtsla av brennievni,Aðrar vinnur,0.5
2015,Bunkring,,0.0
2015,Bunkring,Flogfør,0.0
2015,Bunkring,Skip,0.0
2016,,,0.8
2016,Nýtsla av brennievni,,0.8
2016,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2016,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
