Year,Value,Units,Series
2003,41,%,Tubbaksnýtsla
2004,36,%,Tubbaksnýtsla
2005,32,%,Tubbaksnýtsla
2006,33,%,Tubbaksnýtsla
2007,28,%,Tubbaksnýtsla
2008,33,%,Tubbaksnýtsla
2009,34,%,Tubbaksnýtsla
2010,27,%,Tubbaksnýtsla
2011,34,%,Tubbaksnýtsla
2012,29,%,Tubbaksnýtsla
2013,33,%,Tubbaksnýtsla
2014,27,%,Tubbaksnýtsla
2015,27,%,Tubbaksnýtsla
2016,34,%,Tubbaksnýtsla
2017,27,%,Tubbaksnýtsla
2018,26,%,Tubbaksnýtsla
2019,29,%,Tubbaksnýtsla
2020,31,%,Tubbaksnýtsla
2021,26,%,Tubbaksnýtsla
2022,27,%,Tubbaksnýtsla
