Year,Value,Units,Series
1998,71.917132522197,%,Tilsamans
1999,77.930813581038,%,Tilsamans
2000,77.694834278889,%,Tilsamans
2001,80.655919955531,%,Tilsamans
2002,78.509883426254,%,Tilsamans
2003,76.30201844007,%,Tilsamans
2004,74.054982817869,%,Tilsamans
2005,72.807858169621,%,Tilsamans
2006,78.363511345405,%,Tilsamans
2007,80.375647668394,%,Tilsamans
2008,73.976432993809,%,Tilsamans
2009,67.144540455617,%,Tilsamans
2010,69.020897832817,%,Tilsamans
2011,71.152373660031,%,Tilsamans
2012,70.059656972409,%,Tilsamans
2013,67.536646406864,%,Tilsamans
2014,71.119133574007,%,Tilsamans
2015,75.620203462431,%,Tilsamans
2016,78.874956461163,%,Tilsamans
2017,82.169117647059,%,Tilsamans
2018,79.640533002789,%,Tilsamans
2019,80.93455144526,%,Tilsamans
2020,74.504748982361,%,Tilsamans
2021,76.982872200264,%,Tilsamans
2022,78.555332999499,%,Tilsamans
2023,74.862385321101,%,Tilsamans
2024,76.872783687943,%,Tilsamans
