Year,Units,data.outcome,Kyn,Value
2020,data.persons,data.lethal,Kvinnur,-
2020,data.persons,data.non-lethal,,170
2020,data.persons,data.non-lethal,Menn,100
2020,data.persons,data.non-lethal,Kvinnur,70
2020,data.pr.100.000,data.lethal,,9.6
2020,data.pr.100.000,data.lethal,Menn,17.8
2020,data.pr.100.000,data.lethal,Kvinnur,-
2020,data.pr.100.000,data.non-lethal,,544.2
2020,data.pr.100.000,data.non-lethal,Menn,594.5
2020,data.pr.100.000,data.non-lethal,Kvinnur,485.5
2021,data.persons,data.lethal,,-
2021,data.persons,data.lethal,,..
2021,data.persons,data.lethal,Menn,-
2021,data.persons,data.lethal,Menn,..
2021,data.persons,data.lethal,Kvinnur,-
2021,data.persons,data.lethal,Kvinnur,..
2021,data.pr.100.000,data.lethal,,-
2021,data.pr.100.000,data.lethal,,..
2021,data.pr.100.000,data.lethal,Menn,-
2021,data.pr.100.000,data.lethal,Menn,..
2021,data.pr.100.000,data.lethal,Kvinnur,-
2021,data.pr.100.000,data.lethal,Kvinnur,..
