Year,Series,Units,Value
2005,SL_TLF_MANF,PCT,13.1811964581384
2006,SL_TLF_MANF,PCT,12.1736712204957
2007,SL_TLF_MANF,PCT,11.9200848656294
2008,SL_TLF_MANF,PCT,10.8703178010109
2009,SL_TLF_MANF,PCT,11.0547815303815
2010,SL_TLF_MANF,PCT,10.3872972563286
2011,SL_TLF_MANF,PCT,9.1311501096835
2012,SL_TLF_MANF,PCT,9.4936481088279
2013,SL_TLF_MANF,PCT,9.618682722131
2014,SL_TLF_MANF,PCT,10.0809498111171
2015,SL_TLF_MANF,PCT,10.1529951335644
2016,SL_TLF_MANF,PCT,10.4139692759912
2017,SL_TLF_MANF,PCT,11.3040494166095
2018,SL_TLF_MANF,PCT,10.5542975287979
2019,SL_TLF_MANF,PCT,11.0936648828788
2020,SL_TLF_MANF,PCT,11.1687313934505
2021,SL_TLF_MANF,PCT,10.5258113979044
2022,SL_TLF_MANF,PCT,10.4396969320581
