Year,countrygroup,Units,Series,Value
2005,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,408.4309
2005,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,131.5607
2005,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,9.09616504718256
2005,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,3.66836955698874
2006,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,430.9306
2006,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,137.4581
2006,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,9.18419179714902
2006,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,3.55312826042345
2007,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,709.0856
2007,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,258.4572
2007,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,12.8408506049239
2007,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,6.37139297869127
2008,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,441.7834
2008,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,312.0436
2008,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,8.79885447277137
2008,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,7.180586278763
2009,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,666.7606
2009,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,484.6445
2009,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,15.8343259265409
2009,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,11.8069504540971
2010,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,401.8723
2010,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,673.504
2010,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,9.19639164463389
2010,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,14.3398073861258
2011,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,545.5826
2011,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,746.5458
2011,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,10.335232126563
2011,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,13.7707966161519
2012,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,685.4229
2012,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,828.407
2012,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,10.2562960353558
2012,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,14.9161965856711
2013,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,529.5228
2013,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,1104.5057
2013,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,8.44116544217384
2013,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,17.8681092182499
2014,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,549.1639
2014,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,1029.0766
2014,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,9.1228314345926
2014,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,15.9278926618572
2015,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,832.6078
2015,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,921.7389
2015,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,13.5947029550943
2015,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,13.2767693177231
2016,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,639.5132
2016,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,831.2578
2016,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,9.69241178783916
2016,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,10.274597204342
2017,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,691.7135
2017,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,773.3262
2017,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,9.52705388089093
2017,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,8.81120268465845
2018,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,775.5665
2018,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,946.899
2018,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,10.0114872449809
2018,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,11.8018085265533
2019,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,871.9167
2019,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,1162.7154
2019,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,10.6493262949218
2019,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,12.1959774366392
2020,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,930.8128
2020,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,736.8611
2020,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,11.4183013373409
2020,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,8.77132653992016
2021,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,1012.7312
2021,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,869.1259
2021,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,10.9089234959555
2021,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,8.6379697235611
2022,Developing countries and leas developed countries,DKK mill.,Faroese merchandise import,1180.8527
2022,Developing countries and leas developed countries,DKK mill.,Faroese merchandise export,1459.2242
2022,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise import,9.73211007619751
2022,Developing countries and leas developed countries,Per cent of total trade,Faroese merchandise export,11.4862591920823
1988,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1988,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1988,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1988,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1989,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1989,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1989,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1989,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1990,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1990,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1990,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1990,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1991,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1991,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1991,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1991,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1992,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1992,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1992,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1992,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
