Year,countrygroup,Units,Series,Value
2012,Developing countries excluding China,DKK mill.,Faroese merchandise export,630.5013
2012,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,6.3752062581606
2012,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,11.3527304070598
2013,Developing countries excluding China,DKK mill.,Faroese merchandise import,255.3734
2013,Developing countries excluding China,DKK mill.,Faroese merchandise export,699.1458
2013,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.07092785982103
2013,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,11.3104110860457
2014,Developing countries excluding China,DKK mill.,Faroese merchandise import,258.2405
2014,Developing countries excluding China,DKK mill.,Faroese merchandise export,640.4323
2014,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.28994795740381
2014,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,9.9125147064721
2015,Developing countries excluding China,DKK mill.,Faroese merchandise import,467.5218
2015,Developing countries excluding China,DKK mill.,Faroese merchandise export,591.5194
2015,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,7.63363013898143
2015,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,8.52027252051313
2016,Developing countries excluding China,DKK mill.,Faroese merchandise import,268.7506
2016,Developing countries excluding China,DKK mill.,Faroese merchandise export,262.3452
2016,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.07316296743968
2016,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,3.24266582339744
2017,Developing countries excluding China,DKK mill.,Faroese merchandise import,288.4376
2017,Developing countries excluding China,DKK mill.,Faroese merchandise export,313.2201
2017,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,3.97268602748807
2017,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,3.56879902169226
2018,Developing countries excluding China,DKK mill.,Faroese merchandise import,295.5978
2018,Developing countries excluding China,DKK mill.,Faroese merchandise export,302.6513
2018,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,3.81575739068719
2018,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,3.77213693637066
2019,Developing countries excluding China,DKK mill.,Faroese merchandise import,377.9958
2019,Developing countries excluding China,DKK mill.,Faroese merchandise export,317.5897
2019,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,4.61672613027139
2019,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,3.33126818076807
2020,Developing countries excluding China,DKK mill.,Faroese merchandise import,413.1066
2020,Developing countries excluding China,DKK mill.,Faroese merchandise export,417.7018
2020,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,5.06758785788547
2020,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,4.97217031013365
2021,Developing countries excluding China,DKK mill.,Faroese merchandise import,370.0024
2021,Developing countries excluding China,DKK mill.,Faroese merchandise export,422.0317
2021,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,3.98558657511482
2021,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,4.19444069838791
2022,Developing countries excluding China,DKK mill.,Faroese merchandise import,436.7038
2022,Developing countries excluding China,DKK mill.,Faroese merchandise export,852.3654
2022,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,3.59913599070717
2022,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,6.70938016979357
