Year,Series,energy source,Units,Value
2020,EG_EGY_RNEW,BIOFUEL,WPERCAP,6.19266942756512
2021,EG_EGY_RNEW,,WPERCAP,1224.65314834578
2021,EG_EGY_RNEW,HYDRO,WPERCAP,756.593992986736
2021,EG_EGY_RNEW,WIND,WPERCAP,428.800121969812
2021,EG_EGY_RNEW,SOLAR,WPERCAP,4.95502363165117
2021,EG_EGY_RNEW,OCEAN,WPERCAP,1.90577831986583
2021,EG_EGY_RNEW,BIOFUEL,WPERCAP,32.3982314377192
2022,EG_EGY_RNEW,,WPERCAP,1200.50815159856
2022,EG_EGY_RNEW,HYDRO,WPERCAP,741.6771493691699
2022,EG_EGY_RNEW,WIND,WPERCAP,420.345991456078
2022,EG_EGY_RNEW,SOLAR,WPERCAP,4.8573314568258
2022,EG_EGY_RNEW,OCEAN,WPERCAP,1.86820440647146
2022,EG_EGY_RNEW,BIOFUEL,WPERCAP,31.7594749100148
