Year,Series,region,sex,age,Units,GeoCode,Value
2015,SI_POV_NAHC,,M,,PCT,TOTAL,3.6
2016,SI_POV_NAHC,,M,,PCT,TOTAL,3.4
2017,SI_POV_NAHC,,M,,PCT,TOTAL,3.1
2018,SI_POV_NAHC,,M,,PCT,TOTAL,3.0
2019,SI_POV_NAHC,,M,,PCT,TOTAL,2.9
2020,SI_POV_NAHC,,M,,PCT,TOTAL,2.6
2021,SI_POV_NAHC,,M,,PCT,TOTAL,2.7
2022,SI_POV_NAHC,,M,,PCT,TOTAL,2.6
2009,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,5.3
2010,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,5.5
2011,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,5.9
2012,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,6.0
2013,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,5.4
2014,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,5.0
2015,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,4.9
2016,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,4.4
2017,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,3.7
2018,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,3.4
2019,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,3.8
2020,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,3.5
2021,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,3.5
2022,SI_POV_NAHC,,M,Y0-17,PCT,TOTAL,3.0
2009,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,4.8
2010,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,5.7
2011,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,7.3
2012,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,7.8
2013,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,5.9
2014,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,5.9
2015,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,5.3
2016,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,4.8
2017,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,4.0
2018,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,4.2
2019,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,4.0
2020,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,3.8
2021,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,4.1
2022,SI_POV_NAHC,,M,Y18-24,PCT,TOTAL,4.7
2009,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,4.0
2010,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,4.1
2011,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,4.3
2012,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,4.8
2013,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,3.9
2014,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,3.6
2015,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,3.5
2016,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,3.3
2017,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,2.9
2018,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,2.9
2019,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,3.0
2020,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,2.6
2021,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,2.9
2022,SI_POV_NAHC,,M,Y25-54,PCT,TOTAL,2.8
2009,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,3.4
2010,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,3.2
2011,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,3.1
2012,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,3.3
2013,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,2.9
2014,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,2.7
2015,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,2.2
2016,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,2.4
2017,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,2.4
2018,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,2.1
2019,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,1.9
2020,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,1.7
2021,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,1.6
2022,SI_POV_NAHC,,M,Y55-66,PCT,TOTAL,1.6
2009,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,3.4
2010,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,3.1
2011,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,3.3
2012,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,2.5
2013,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,2.2
2014,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,2.0
2015,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,1.9
2016,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,1.9
2017,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,2.9
2018,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,2.6
2019,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,1.7
2020,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,1.6
2021,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,1.1
2022,SI_POV_NAHC,,M,Y_GE67,PCT,TOTAL,1.2
2009,SI_POV_NAHC,,F,,PCT,TOTAL,3.9
2010,SI_POV_NAHC,,F,,PCT,TOTAL,4.0
2011,SI_POV_NAHC,,F,,PCT,TOTAL,4.2
2012,SI_POV_NAHC,,F,,PCT,TOTAL,4.6
2013,SI_POV_NAHC,,F,,PCT,TOTAL,3.5
2014,SI_POV_NAHC,,F,,PCT,TOTAL,3.3
2015,SI_POV_NAHC,,F,,PCT,TOTAL,3.2
2016,SI_POV_NAHC,,F,,PCT,TOTAL,3.1
2017,SI_POV_NAHC,,F,,PCT,TOTAL,2.9
2018,SI_POV_NAHC,,F,,PCT,TOTAL,2.8
2019,SI_POV_NAHC,,F,,PCT,TOTAL,2.4
2020,SI_POV_NAHC,,F,,PCT,TOTAL,2.1
2021,SI_POV_NAHC,,F,,PCT,TOTAL,2.5
2022,SI_POV_NAHC,,F,,PCT,TOTAL,2.4
2009,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,4.9
2010,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,4.8
2011,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,5.2
2012,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,6.3
2013,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,5.0
2014,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,4.7
2015,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,4.0
2016,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,4.1
2017,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,3.8
2018,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,3.6
2019,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,3.0
2020,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,3.0
2021,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,3.2
2022,SI_POV_NAHC,,F,Y0-17,PCT,TOTAL,3.3
2009,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,3.0
2010,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,3.2
2011,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,3.7
2012,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,4.1
2013,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,3.0
2014,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,3.4
2015,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,3.2
2016,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,2.7
2017,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,2.2
2018,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,2.8
