Year,Units,Series,Value
2007,DKK,DC_TOF_TRDDBML,952.328
2008,DKK,DC_TOF_TRDDBML,190.1
2009,DKK,DC_TOF_TRDDBML,0.0
2010,DKK,DC_TOF_TRDDBML,0.0
2011,DKK,DC_TOF_TRDDBML,0.0
2012,DKK,DC_TOF_TRDDBML,0.0
2013,DKK,DC_TOF_TRDDBML,0.0
2014,DKK,DC_TOF_TRDDBML,0.0
2020,DKK,DC_TOF_TRDDBML,487.85
2021,DKK,DC_TOF_TRDDBML,348.536
2007,,,952.328
2008,,,190.1
2009,,,0.0
2010,,,0.0
2011,,,0.0
2012,,,0.0
2013,,,0.0
2014,,,0.0
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,487.85
2021,,,348.536
