Year,countrygroup,Units,Series,Value
2004,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,2.73003972335953
2005,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,408.4309
2005,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,131.5607
2005,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,9.09616504718256
2005,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,3.66836955698874
2006,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,430.9306
2006,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,137.4581
2006,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,9.18419179714902
2006,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,3.55312826042345
2007,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,709.0856
2007,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,258.4572
2007,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,12.8408506049239
2007,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,6.37139297869127
2008,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,441.7834
2008,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,312.0436
2008,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,8.79885447277137
2008,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,7.180586278763
2009,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,666.7606
2009,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,484.6445
2009,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,15.8343259265409
2009,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,11.8069504540971
2010,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,401.8723
2010,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,673.504
2010,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,9.19639164463389
2010,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,14.3398073861258
2011,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,545.5826
2011,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,746.5458
2011,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,10.335232126563
2011,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,13.7707966161519
2012,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,685.4229
2012,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,828.407
2012,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,10.2562960353558
2012,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,14.9161965856711
2013,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,529.5228
2013,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,1104.5057
2013,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,8.44116544217384
2013,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,17.8681092182499
2014,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,549.1639
2014,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,1029.0766
2014,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,9.1228314345926
2014,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,15.9278926618572
2015,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,832.6078
2015,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,921.7389
2015,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,13.5947029550943
2015,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,13.2767693177231
2016,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,639.5132
2016,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,831.2578
2016,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,9.69241178783916
2016,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,10.274597204342
2017,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,691.7135
2017,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,773.3262
2017,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,9.52705388089093
2017,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,8.81120268465845
2018,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,775.5665
2018,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,946.899
2018,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,10.0114872449809
2018,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,11.8018085265533
2019,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,871.9167
2019,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,1162.7154
2019,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,10.6493262949218
2019,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,12.1959774366392
2020,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,930.8128
2020,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,736.8611
2020,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,11.4183013373409
2020,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,8.77132653992016
2021,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,1012.7312
2021,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,869.1259
2021,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,10.9089234959555
2021,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,8.6379697235611
2022,DEV_LDEV,IT_NET_BBND,TX_IMP_MRCH,1180.8527
2022,DEV_LDEV,IT_NET_BBND,TX_EXP_MRCH,1459.2242
2022,DEV_LDEV,IT_NET_BBNDN,TX_IMP_MRCH,9.73211007619751
2022,DEV_LDEV,IT_NET_BBNDN,TX_EXP_MRCH,11.4862591920823
1988,LDEV,IT_NET_BBND,TX_IMP_MRCH,0.0
1988,LDEV,IT_NET_BBND,TX_EXP_MRCH,0.0
1988,LDEV,IT_NET_BBNDN,TX_IMP_MRCH,0.0
1988,LDEV,IT_NET_BBNDN,TX_EXP_MRCH,0.0
1989,LDEV,IT_NET_BBND,TX_IMP_MRCH,0.0
1989,LDEV,IT_NET_BBND,TX_EXP_MRCH,0.0
1989,LDEV,IT_NET_BBNDN,TX_IMP_MRCH,0.0
1989,LDEV,IT_NET_BBNDN,TX_EXP_MRCH,0.0
1990,LDEV,IT_NET_BBND,TX_IMP_MRCH,0.0
1990,LDEV,IT_NET_BBND,TX_EXP_MRCH,0.0
1990,LDEV,IT_NET_BBNDN,TX_IMP_MRCH,0.0
1990,LDEV,IT_NET_BBNDN,TX_EXP_MRCH,0.0
1991,LDEV,IT_NET_BBND,TX_IMP_MRCH,0.0
1991,LDEV,IT_NET_BBND,TX_EXP_MRCH,0.0
1991,LDEV,IT_NET_BBNDN,TX_IMP_MRCH,0.0
1991,LDEV,IT_NET_BBNDN,TX_EXP_MRCH,0.0
