Year,Series,essential service,Units,Value
2005,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.112812755764
2006,TOT_GOV_SPEND,SG_XPD_PROT,PCT,32.9845981000602
2007,TOT_GOV_SPEND,SG_XPD_PROT,PCT,32.6648324117574
2008,TOT_GOV_SPEND,SG_XPD_PROT,PCT,32.461725801216
2009,TOT_GOV_SPEND,SG_XPD_PROT,PCT,36.0507310835123
2010,TOT_GOV_SPEND,SG_XPD_PROT,PCT,37.8265664479963
2011,TOT_GOV_SPEND,SG_XPD_PROT,PCT,37.384135908146
2012,TOT_GOV_SPEND,SG_XPD_PROT,PCT,37.0985310003835
2013,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.9970350838131
2014,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.6321205053593
2015,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.8163158578317
2016,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.5335863239321
2017,TOT_GOV_SPEND,SG_XPD_PROT,PCT,33.0515944895436
2018,TOT_GOV_SPEND,SG_XPD_PROT,PCT,31.8156451710723
2019,TOT_GOV_SPEND,SG_XPD_PROT,PCT,33.1071833635633
2020,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.0073184343215
2021,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.6483649769607
2022,TOT_GOV_SPEND,SG_XPD_PROT,PCT,35.1658341303556
2023,TOT_GOV_SPEND,SG_XPD_PROT,PCT,33.9313708031391
2024,TOT_GOV_SPEND,SG_XPD_PROT,PCT,34.6492042105205
