Year,Units,material type,Value
2004,data.domesticmaterialconsumption,data.non-metallicminerals,409.0
2004,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,190.1
2004,data.domesticmaterialconsumptionpercapita,data.total,23.7
2004,data.domesticmaterialconsumptionpercapita,data.biomass,11.1
2004,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2004,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,8.5
2004,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.9
2004,data.domesticmaterialconsumptionperunitofgdp,data.total,111.6
2004,data.domesticmaterialconsumptionperunitofgdp,data.biomass,52.4
2004,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.7
2004,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,40.0
2004,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,18.6
2005,data.domesticmaterialconsumption,data.total,1201.5
2005,data.domesticmaterialconsumption,data.biomass,475.1
2005,data.domesticmaterialconsumption,data.metallicminerals,4.1
2005,data.domesticmaterialconsumption,data.non-metallicminerals,533.1
2005,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,189.3
2005,data.domesticmaterialconsumptionpercapita,data.total,24.9
2005,data.domesticmaterialconsumptionpercapita,data.biomass,9.9
2005,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2005,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,11.1
2005,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.9
2005,data.domesticmaterialconsumptionperunitofgdp,data.total,114.2
2005,data.domesticmaterialconsumptionperunitofgdp,data.biomass,45.2
2005,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.4
2005,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,50.7
2005,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,18.0
2006,data.domesticmaterialconsumption,data.total,1333.3
2006,data.domesticmaterialconsumption,data.biomass,547.2
2006,data.domesticmaterialconsumption,data.metallicminerals,2.5
2006,data.domesticmaterialconsumption,data.non-metallicminerals,621.2
2006,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,162.4
2006,data.domesticmaterialconsumptionpercapita,data.total,27.7
2006,data.domesticmaterialconsumptionpercapita,data.biomass,11.4
2006,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2006,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,12.9
2006,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.4
2006,data.domesticmaterialconsumptionperunitofgdp,data.total,111.3
2006,data.domesticmaterialconsumptionperunitofgdp,data.biomass,45.7
2006,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.2
2006,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,51.8
2006,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,13.6
2007,data.domesticmaterialconsumption,data.total,1565.8
2007,data.domesticmaterialconsumption,data.biomass,511.0
2007,data.domesticmaterialconsumption,data.metallicminerals,2.5
2007,data.domesticmaterialconsumption,data.non-metallicminerals,894.2
2007,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,158.2
2007,data.domesticmaterialconsumptionpercapita,data.total,32.4
2007,data.domesticmaterialconsumptionpercapita,data.biomass,10.6
2007,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2007,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,18.5
2007,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.3
2007,data.domesticmaterialconsumptionperunitofgdp,data.total,123.3
2007,data.domesticmaterialconsumptionperunitofgdp,data.biomass,40.2
2007,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.2
2007,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,70.4
2007,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,12.5
2008,data.domesticmaterialconsumption,data.total,1496.3
2008,data.domesticmaterialconsumption,data.biomass,456.2
2008,data.domesticmaterialconsumption,data.metallicminerals,0.1
2008,data.domesticmaterialconsumption,data.non-metallicminerals,891.3
2008,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,148.8
2008,data.domesticmaterialconsumptionpercapita,data.total,30.9
2008,data.domesticmaterialconsumptionpercapita,data.biomass,9.4
2008,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.0
2008,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,18.4
2008,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.1
2008,data.domesticmaterialconsumptionperunitofgdp,data.total,117.9
2008,data.domesticmaterialconsumptionperunitofgdp,data.biomass,36.0
2008,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.0
2008,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,70.3
2008,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,11.7
2009,data.domesticmaterialconsumption,data.total,830.0
2009,data.domesticmaterialconsumption,data.biomass,298.3
2009,data.domesticmaterialconsumption,data.metallicminerals,-1.6
2009,data.domesticmaterialconsumption,data.non-metallicminerals,402.9
2009,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,130.3
2009,data.domesticmaterialconsumptionpercapita,data.total,17.1
2009,data.domesticmaterialconsumptionpercapita,data.biomass,6.1
2009,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.0
2009,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,8.3
2009,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,2.7
2009,data.domesticmaterialconsumptionperunitofgdp,data.total,67.4
2009,data.domesticmaterialconsumptionperunitofgdp,data.biomass,24.2
2009,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,-0.1
2009,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,32.7
2009,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,10.6
2010,data.domesticmaterialconsumption,data.total,756.4
2010,data.domesticmaterialconsumption,data.biomass,344.0
2010,data.domesticmaterialconsumption,data.metallicminerals,-3.2
2010,data.domesticmaterialconsumption,data.non-metallicminerals,262.1
2010,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,153.5
2010,data.domesticmaterialconsumptionpercapita,data.total,15.6
2010,data.domesticmaterialconsumptionpercapita,data.biomass,7.1
2010,data.domesticmaterialconsumptionpercapita,data.metallicminerals,-0.1
2010,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,5.4
2010,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.2
2010,data.domesticmaterialconsumptionperunitofgdp,data.total,57.9
2010,data.domesticmaterialconsumptionperunitofgdp,data.biomass,26.3
2010,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,-0.2
2010,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,20.1
2010,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,11.8
2011,data.domesticmaterialconsumption,data.total,876.7
2011,data.domesticmaterialconsumption,data.biomass,359.6
2011,data.domesticmaterialconsumption,data.metallicminerals,1.0
2011,data.domesticmaterialconsumption,data.non-metallicminerals,366.4
2011,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,149.7
2011,data.domesticmaterialconsumptionpercapita,data.total,18.1
2011,data.domesticmaterialconsumptionpercapita,data.biomass,7.4
2011,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.0
2011,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,7.6
2011,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.1
2011,data.domesticmaterialconsumptionperunitofgdp,data.total,65.3
2011,data.domesticmaterialconsumptionperunitofgdp,data.biomass,26.8
2011,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.1
2011,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,27.3
2011,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,11.2
2012,data.domesticmaterialconsumption,data.total,905.2
2012,data.domesticmaterialconsumption,data.biomass,225.3
2012,data.domesticmaterialconsumption,data.metallicminerals,3.4
2012,data.domesticmaterialconsumption,data.non-metallicminerals,472.7
2012,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,203.8
2012,data.domesticmaterialconsumptionpercapita,data.total,18.8
2012,data.domesticmaterialconsumptionpercapita,data.biomass,4.7
2012,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2012,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,9.8
2012,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,4.2
2012,data.domesticmaterialconsumptionperunitofgdp,data.total,64.7
2012,data.domesticmaterialconsumptionperunitofgdp,data.biomass,16.1
2012,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.2
2012,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,33.8
2012,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,14.6
2013,data.domesticmaterialconsumption,data.total,1044.4
2013,data.domesticmaterialconsumption,data.biomass,342.9
2013,data.domesticmaterialconsumption,data.metallicminerals,4.9
2013,data.domesticmaterialconsumption,data.non-metallicminerals,444.6
2013,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,252.0
2013,data.domesticmaterialconsumptionpercapita,data.total,21.7
2013,data.domesticmaterialconsumptionpercapita,data.biomass,7.1
2013,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2013,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,9.2
2013,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.2
2013,data.domesticmaterialconsumptionperunitofgdp,data.total,69.5
2013,data.domesticmaterialconsumptionperunitofgdp,data.biomass,22.8
2013,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.3
2013,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,29.6
2013,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,16.8
2014,data.domesticmaterialconsumption,data.total,1407.2
2014,data.domesticmaterialconsumption,data.biomass,365.4
2014,data.domesticmaterialconsumption,data.metallicminerals,6.1
2014,data.domesticmaterialconsumption,data.non-metallicminerals,786.1
2014,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,249.6
2014,data.domesticmaterialconsumptionpercapita,data.total,29.1
2014,data.domesticmaterialconsumptionpercapita,data.biomass,7.6
2014,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2014,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,16.3
2014,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.2
2014,data.domesticmaterialconsumptionperunitofgdp,data.total,86.4
2014,data.domesticmaterialconsumptionperunitofgdp,data.biomass,22.4
2014,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.4
2014,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,48.3
