Year,Series,unit,Value
2021,NE_GDI_TOTL_KD_ZG,PCT,7.99894620716908
2022,NE_GDI_TOTL_KD_ZG,PCT,20.4113369212239
1999,NE_CON_PRVT_KD_ZG,PCT,11.2440761430727
2000,NE_CON_PRVT_KD_ZG,PCT,5.57856156885144
2001,NE_CON_PRVT_KD_ZG,PCT,9.13168928362114
2002,NE_CON_PRVT_KD_ZG,PCT,5.17009894036726
2003,NE_CON_PRVT_KD_ZG,PCT,5.64066305287139
2004,NE_CON_PRVT_KD_ZG,PCT,8.31598125976054
2005,NE_CON_PRVT_KD_ZG,PCT,16.9770515439144
2006,NE_CON_PRVT_KD_ZG,PCT,1.14450052823101
2007,NE_CON_PRVT_KD_ZG,PCT,1.32304299889747
2008,NE_CON_PRVT_KD_ZG,PCT,-1.86844968787584
2009,NE_CON_PRVT_KD_ZG,PCT,5.10804067757045
2010,NE_CON_PRVT_KD_ZG,PCT,-6.55191560244309
2011,NE_CON_PRVT_KD_ZG,PCT,4.16072489601902
2012,NE_CON_PRVT_KD_ZG,PCT,8.33273912237418
2013,NE_CON_PRVT_KD_ZG,PCT,1.79295455742194
2014,NE_CON_PRVT_KD_ZG,PCT,2.98864547500193
2015,NE_CON_PRVT_KD_ZG,PCT,2.09827090422794
2016,NE_CON_PRVT_KD_ZG,PCT,6.34623899247306
2017,NE_CON_PRVT_KD_ZG,PCT,-1.04894296155802
2018,NE_CON_PRVT_KD_ZG,PCT,1.47847734364957
2019,NE_CON_PRVT_KD_ZG,PCT,5.03190288623223
2020,NE_CON_PRVT_KD_ZG,PCT,1.12396512966719
2021,NE_CON_PRVT_KD_ZG,PCT,4.92517891997399
2022,NE_CON_PRVT_KD_ZG,PCT,7.53394927760898
1999,NE_CON_GOVT_KD_ZG,PCT,9.35587761674719
2000,NE_CON_GOVT_KD_ZG,PCT,8.50144799489521
2001,NE_CON_GOVT_KD_ZG,PCT,11.4996607102466
2002,NE_CON_GOVT_KD_ZG,PCT,8.73534304377817
2003,NE_CON_GOVT_KD_ZG,PCT,6.85820895522389
2004,NE_CON_GOVT_KD_ZG,PCT,6.06187582931768
2005,NE_CON_GOVT_KD_ZG,PCT,5.17877131757423
2006,NE_CON_GOVT_KD_ZG,PCT,3.9346417503991
2007,NE_CON_GOVT_KD_ZG,PCT,8.32128659197686
2008,NE_CON_GOVT_KD_ZG,PCT,10.7682041871716
2009,NE_CON_GOVT_KD_ZG,PCT,3.4312248995984
2010,NE_CON_GOVT_KD_ZG,PCT,4.64969544009515
2011,NE_CON_GOVT_KD_ZG,PCT,1.68587528696982
2012,NE_CON_GOVT_KD_ZG,PCT,1.80387685290764
2013,NE_CON_GOVT_KD_ZG,PCT,2.88748011917295
2014,NE_CON_GOVT_KD_ZG,PCT,2.7737861963858
2015,NE_CON_GOVT_KD_ZG,PCT,3.66494364884331
2016,NE_CON_GOVT_KD_ZG,PCT,7.04009482159644
2017,NE_CON_GOVT_KD_ZG,PCT,3.55676893411483
2018,NE_CON_GOVT_KD_ZG,PCT,5.44043361232993
2019,NE_CON_GOVT_KD_ZG,PCT,5.16671620652878
2020,NE_CON_GOVT_KD_ZG,PCT,5.3783999467979
2021,NE_CON_GOVT_KD_ZG,PCT,4.67317735039363
2022,NE_CON_GOVT_KD_ZG,PCT,3.82696510663953
1999,NE_EXP_GNFS_KD_ZG,PCT,11.081832397058
2000,NE_EXP_GNFS_KD_ZG,PCT,15.4297333229061
2001,NE_EXP_GNFS_KD_ZG,PCT,12.4503161698284
2002,NE_EXP_GNFS_KD_ZG,PCT,-0.809350711947465
2003,NE_EXP_GNFS_KD_ZG,PCT,-6.29884592022677
2004,NE_EXP_GNFS_KD_ZG,PCT,-2.42442576546598
2005,NE_EXP_GNFS_KD_ZG,PCT,-1.74280842394313
2006,NE_EXP_GNFS_KD_ZG,PCT,13.0358350236646
2007,NE_EXP_GNFS_KD_ZG,PCT,6.95856761175579
2008,NE_EXP_GNFS_KD_ZG,PCT,8.78942659011259
2009,NE_EXP_GNFS_KD_ZG,PCT,-7.91651673263764
2010,NE_EXP_GNFS_KD_ZG,PCT,14.0214741621541
2011,NE_EXP_GNFS_KD_ZG,PCT,15.1189737898619
2012,NE_EXP_GNFS_KD_ZG,PCT,4.76055459468656
2013,NE_EXP_GNFS_KD_ZG,PCT,13.3566092887301
2014,NE_EXP_GNFS_KD_ZG,PCT,4.2881359978989
2015,NE_EXP_GNFS_KD_ZG,PCT,5.49119714279174
2016,NE_EXP_GNFS_KD_ZG,PCT,12.0742227768434
2017,NE_EXP_GNFS_KD_ZG,PCT,7.38463623864758
2018,NE_EXP_GNFS_KD_ZG,PCT,-4.11238041998395
2019,NE_EXP_GNFS_KD_ZG,PCT,14.2447436717193
2020,NE_EXP_GNFS_KD_ZG,PCT,-16.4440274245455
2021,NE_EXP_GNFS_KD_ZG,PCT,19.0961208849662
2022,NE_EXP_GNFS_KD_ZG,PCT,29.8617084629127
1999,NE_IMP_GNFS_KD_ZG,PCT,22.2763055104862
2000,NE_IMP_GNFS_KD_ZG,PCT,25.4963632789463
2001,NE_IMP_GNFS_KD_ZG,PCT,0.855654761904767
2002,NE_IMP_GNFS_KD_ZG,PCT,-3.14508144207808
2003,NE_IMP_GNFS_KD_ZG,PCT,21.9427128224659
2004,NE_IMP_GNFS_KD_ZG,PCT,-15.5598658688934
2005,NE_IMP_GNFS_KD_ZG,PCT,21.0317305820518
2006,NE_IMP_GNFS_KD_ZG,PCT,7.29082896387558
2007,NE_IMP_GNFS_KD_ZG,PCT,9.51924085928013
2008,NE_IMP_GNFS_KD_ZG,PCT,-0.056120563395701
2009,NE_IMP_GNFS_KD_ZG,PCT,-10.312808151638
2010,NE_IMP_GNFS_KD_ZG,PCT,1.0521332803958
2011,NE_IMP_GNFS_KD_ZG,PCT,8.58027956176803
2012,NE_IMP_GNFS_KD_ZG,PCT,26.4011245181134
2013,NE_IMP_GNFS_KD_ZG,PCT,-2.48615438820562
2014,NE_IMP_GNFS_KD_ZG,PCT,-2.62970699486252
2015,NE_IMP_GNFS_KD_ZG,PCT,5.21244028016141
2016,NE_IMP_GNFS_KD_ZG,PCT,4.398717086773
2017,NE_IMP_GNFS_KD_ZG,PCT,5.68189016279217
2018,NE_IMP_GNFS_KD_ZG,PCT,8.72792296012148
2019,NE_IMP_GNFS_KD_ZG,PCT,5.79009748164754
2020,NE_IMP_GNFS_KD_ZG,PCT,-9.28931849960483
2021,NE_IMP_GNFS_KD_ZG,PCT,14.704108303733
2022,NE_IMP_GNFS_KD_ZG,PCT,31.2975251450274
1998,FP_CPI_TOTL_ZG,PCT,4.7
1999,FP_CPI_TOTL_ZG,PCT,5.1
