Year,Series,energy source,Units,data.energysource,Value
2015,EG_EGY_RNEW,HYDRO,WPERCAP,,812.713906093286
2015,EG_EGY_RNEW,WIND,WPERCAP,,420.005583530652
2015,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2015,EG_EGY_RNEW,OCEAN,WPERCAP,,6.203922947277
2015,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2016,EG_EGY_RNEW,TOTAL,WPERCAP,,1220.42851147031
2016,EG_EGY_RNEW,HYDRO,WPERCAP,,804.6106442003539
2016,EG_EGY_RNEW,WIND,WPERCAP,,415.817867269954
2016,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2016,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2016,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2017,EG_EGY_RNEW,TOTAL,WPERCAP,,1205.67949677393
2017,EG_EGY_RNEW,HYDRO,WPERCAP,,794.886834813212
2017,EG_EGY_RNEW,WIND,WPERCAP,,410.792661960721
2017,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2017,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2017,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2018,EG_EGY_RNEW,TOTAL,WPERCAP,,1118.26026235722
2018,EG_EGY_RNEW,HYDRO,WPERCAP,,792.0594543368751
2018,EG_EGY_RNEW,WIND,WPERCAP,,326.20080802035
2018,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2018,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2018,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2019,EG_EGY_RNEW,TOTAL,WPERCAP,,1036.35398438882
2019,EG_EGY_RNEW,HYDRO,WPERCAP,,780.5587778455
2019,EG_EGY_RNEW,WIND,WPERCAP,,250.683234698492
2019,EG_EGY_RNEW,SOLAR,WPERCAP,,5.11197184483199
2019,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2019,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2020,EG_EGY_RNEW,TOTAL,WPERCAP,,1150.09482525061
2020,EG_EGY_RNEW,HYDRO,WPERCAP,,768.2780508572979
2020,EG_EGY_RNEW,WIND,WPERCAP,,368.657351859736
2020,EG_EGY_RNEW,SOLAR,WPERCAP,,5.03154390989666
2020,EG_EGY_RNEW,OCEAN,WPERCAP,,1.9352091961141
2020,EG_EGY_RNEW,BIOFUEL,WPERCAP,,6.19266942756512
2021,EG_EGY_RNEW,TOTAL,WPERCAP,,1224.65314834578
2021,EG_EGY_RNEW,HYDRO,WPERCAP,,756.593992986736
2021,EG_EGY_RNEW,WIND,WPERCAP,,428.800121969812
2021,EG_EGY_RNEW,SOLAR,WPERCAP,,4.95502363165117
2021,EG_EGY_RNEW,OCEAN,WPERCAP,,1.90577831986583
2021,EG_EGY_RNEW,BIOFUEL,WPERCAP,,32.3982314377192
2022,EG_EGY_RNEW,TOTAL,WPERCAP,,1200.50815159856
2022,EG_EGY_RNEW,HYDRO,WPERCAP,,741.6771493691699
2022,EG_EGY_RNEW,WIND,WPERCAP,,420.345991456078
2022,EG_EGY_RNEW,SOLAR,WPERCAP,,4.8573314568258
2022,EG_EGY_RNEW,OCEAN,WPERCAP,,1.86820440647146
2022,EG_EGY_RNEW,BIOFUEL,WPERCAP,,31.7594749100148
2000,,,,,704.8
2000,,,,data.hydro,701.4
2000,,,,data.wind,3.3
2000,,,,data.solar,0.0
2000,,,,data.ocean,0.0
2000,,,,data.biofuel,0.0
2001,,,,,694.2
2001,,,,data.hydro,690.9
2001,,,,data.wind,3.3
2001,,,,data.solar,0.0
2001,,,,data.ocean,0.0
2001,,,,data.biofuel,0.0
2002,,,,,682.3
2002,,,,data.hydro,679.1
2002,,,,data.wind,3.2
2002,,,,data.solar,0.0
2002,,,,data.ocean,0.0
2002,,,,data.biofuel,0.0
2003,,,,,713.2
2003,,,,data.hydro,668.2
2003,,,,data.wind,45.0
