Year,Series,position,Public/private,unit,Value
2022,SL_DOM_TSPD,IC_GEN_CE,PRIVATE,PCT,17
2022,SL_DOM_TSPD,IC_GEN_CE,PUBLIC,PCT,59
2022,SL_DOM_TSPD,IC_GEN_BM,PRIVATE,PCT,18
2022,SL_DOM_TSPD,IC_GEN_BM,PUBLIC,PCT,40
