Year,Units,Series,Value
2009,PCT,NY_GDP_PCAP,-4.70836261419537
2010,PCT,NY_GDP_PCAP,-0.221238938053081
2011,PCT,NY_GDP_PCAP,3.91722099039171
2012,PCT,NY_GDP_PCAP,7.50355618776673
2013,PCT,NY_GDP_PCAP,5.9212702613298
2014,PCT,NY_GDP_PCAP,4.84072454715803
2015,PCT,NY_GDP_PCAP,-0.059577003276734
2016,PCT,NY_GDP_PCAP,0.149031296572288
2017,PCT,NY_GDP_PCAP,2.11309523809524
2018,PCT,NY_GDP_PCAP,1.28242494899447
2019,PCT,NY_GDP_PCAP,2.9064748201439
2020,PCT,NY_GDP_PCAP,-3.13199105145415
2021,PCT,NY_GDP_PCAP,4.07043879907623
2022,PCT,NY_GDP_PCAP,2.38557558945909
2023,PCT,NY_GDP_PCAP,1.59848279599024
