Year,slag av tilfari,Units,Series,Slag av tilfari,Value
2001,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,5.37985988739416
2001,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,25.924632638479
2002,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1162.6814
2002,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,24.5841206072652
2002,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,115.500064570606
2002,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,467.8732
2002,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,9.8928659026515
2002,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,46.4782397059554
2002,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,5.3165
2002,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.11241383685034
2002,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.528137883077534
2002,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,456.5578
2002,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,9.65360933733666
2002,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,45.3541747379924
2002,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,225.9103
2002,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.77672220577663
2002,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,22.4417920826504
