Year,landabólkur,Units,Series,Value
2003,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,4.81062821043071
2003,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,2.4603190304809
2004,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,257.7788
2004,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,100.7184
2004,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,6.8506165065334
2004,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,2.73003972335953
2005,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,408.4309
2005,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,131.5607
2005,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,9.09616504718256
2005,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,3.66836955698874
2006,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,430.9306
2006,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,137.4581
2006,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,9.18419179714902
2006,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,3.55312826042345
2007,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,709.0856
2007,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,258.4572
2007,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,12.8408506049239
2007,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,6.37139297869127
2008,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,441.7834
2008,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,312.0436
2008,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,8.79885447277137
2008,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,7.180586278763
2009,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,666.7606
2009,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,484.6445
2009,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,15.8343259265409
2009,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,11.8069504540971
2010,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,401.8723
2010,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,673.504
2010,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,9.19639164463389
2010,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,14.3398073861258
2011,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,545.5826
2011,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,746.5458
2011,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,10.335232126563
2011,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,13.7707966161519
2012,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,685.4229
2012,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,828.407
2012,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,10.2562960353558
2012,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,14.9161965856711
2013,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,529.5228
2013,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,1104.5057
2013,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,8.44116544217384
2013,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,17.8681092182499
2014,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,549.1639
2014,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,1029.0766
2014,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,9.1228314345926
2014,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,15.9278926618572
2015,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,832.6078
2015,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,921.7389
2015,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,13.5947029550943
2015,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,13.2767693177231
2016,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,639.5132
2016,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,831.2578
2016,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,9.69241178783916
2016,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,10.274597204342
2017,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,691.7135
2017,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,773.3262
2017,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,9.52705388089093
2017,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,8.81120268465845
2018,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,775.5665
2018,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,946.899
2018,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,10.0114872449809
2018,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,11.8018085265533
2019,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,871.9167
2019,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,1162.7154
2019,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,10.6493262949218
2019,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,12.1959774366392
2020,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,930.8128
2020,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,736.8611
2020,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,11.4183013373409
2020,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,8.77132653992016
2021,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,1012.7312
2021,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,869.1259
2021,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,10.9089234959555
2021,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,8.6379697235611
2022,Menningarlond og minst mentu londini,Mió. kr.,Vøruinnflutningur,1180.8527
2022,Menningarlond og minst mentu londini,Mió. kr.,Vøruútflutningur,1459.2242
2022,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,9.73211007619751
2022,Menningarlond og minst mentu londini,% av samlaða handlinum,Vøruútflutningur,11.4862591920823
1988,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1988,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1988,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1988,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1989,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1989,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1989,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1989,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1990,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1990,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1990,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1990,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1991,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1991,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1991,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1991,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1992,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1992,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1992,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1992,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1993,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1993,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1993,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1993,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1994,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1994,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1994,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1994,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1995,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1995,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1995,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1995,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1996,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0008
1996,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1996,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,3.7207632309e-05
1996,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1997,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0101
1997,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1997,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.000426187958848
1997,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1998,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1998,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1998,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1998,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
1999,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
1999,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
1999,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,0.0
1999,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
2000,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0021
2000,Minst mentu londini,Mió. kr.,Vøruútflutningur,0.0
2000,Minst mentu londini,% av samlaða handlinum,Vøruinnflutningur,4.8728012094e-05
2000,Minst mentu londini,% av samlaða handlinum,Vøruútflutningur,0.0
2001,Minst mentu londini,Mió. kr.,Vøruinnflutningur,0.0
