Year,Units,Series,Value
1998,%,Tilsamans,71.917132522197
1999,%,Tilsamans,77.930813581038
2000,%,Tilsamans,77.694834278889
2001,%,Tilsamans,80.655919955531
2002,%,Tilsamans,78.509883426254
2003,%,Tilsamans,76.30201844007
2004,%,Tilsamans,74.054982817869
2005,%,Tilsamans,72.807858169621
2006,%,Tilsamans,78.363511345405
2007,%,Tilsamans,80.375647668394
2008,%,Tilsamans,73.976432993809
2009,%,Tilsamans,67.144540455617
2010,%,Tilsamans,69.020897832817
2011,%,Tilsamans,71.152373660031
2012,%,Tilsamans,70.059656972409
2013,%,Tilsamans,67.536646406864
2014,%,Tilsamans,71.119133574007
2015,%,Tilsamans,75.620203462431
2016,%,Tilsamans,78.874956461163
2017,%,Tilsamans,82.169117647059
2018,%,Tilsamans,79.640533002789
2019,%,Tilsamans,80.93455144526
2020,%,Tilsamans,74.504748982361
2021,%,Tilsamans,76.982872200264
2022,%,Tilsamans,78.555332999499
2023,%,Tilsamans,74.862385321101
2024,%,Tilsamans,76.872783687943
