Year,Kyn,date.age,Value
Menn,67+ ár,"Streymoyar region, north",R43005.2
Menn,67+ ár,"Streymoyar region, south",R47003.1
Menn,67+ ár,Suðuroyar region,R46002.2
Menn,67+ ár,Vága region,R44003.7
,,,4.2
,,Eysturoyar region,R42003.9
,,Norðoya region,R41005
,,Sandoyar region,R45004.4
,,"Streymoyar region, north",R43003.6
,,"Streymoyar region, south",R47003.9
,,Suðuroyar region,R46005.6
,,Vága region,R44003.1
,00-17 ár,,5.1
,00-17 ár,Eysturoyar region,R42004.7
,00-17 ár,Norðoya region,R41007.7
,00-17 ár,Sandoyar region,R45006.4
,00-17 ár,"Streymoyar region, north",R43004.1
,00-17 ár,"Streymoyar region, south",R47004.2
,00-17 ár,Suðuroyar region,R46008.2
,00-17 ár,Vága region,R44003.8
,18-24 ár,,4.4
,18-24 ár,Eysturoyar region,R42004.4
,18-24 ár,Norðoya region,R41004.4
,18-24 ár,Sandoyar region,R4500-
,18-24 ár,"Streymoyar region, north",R43002.7
,18-24 ár,"Streymoyar region, south",R47005
,18-24 ár,Suðuroyar region,R46005.1
,18-24 ár,Vága region,R44003.2
,25-54years,,3.9
,25-54years,Eysturoyar region,R42003.4
,25-54years,Norðoya region,R41004.7
,25-54years,Sandoyar region,R45004
,25-54years,"Streymoyar region, north",R43002.7
,25-54years,"Streymoyar region, south",R47003.8
,25-54years,Suðuroyar region,R46005.8
,25-54years,Vága region,R44002.7
,55-66 ár,,3.8
,55-66 ár,Eysturoyar region,R42003.3
,55-66 ár,Norðoya region,R41003.2
,55-66 ár,Sandoyar region,R45005.2
,55-66 ár,"Streymoyar region, north",R43004.2
,55-66 ár,"Streymoyar region, south",R47003.9
,55-66 ár,Suðuroyar region,R46004.3
,55-66 ár,Vága region,R44003.8
,67+ ár,,3.3
,67+ ár,Eysturoyar region,R42004
,67+ ár,Norðoya region,R41002.9
,67+ ár,Sandoyar region,R45003.6
,67+ ár,"Streymoyar region, north",R43004.7
,67+ ár,"Streymoyar region, south",R47002.8
,67+ ár,Suðuroyar region,R46003.2
,67+ ár,Vága region,R44002.5
Kvinnur,,,4.3
Kvinnur,,Eysturoyar region,R42004
Kvinnur,,Norðoya region,R41005.3
Kvinnur,,Sandoyar region,R45003.6
Kvinnur,,"Streymoyar region, north",R43003.5
Kvinnur,,"Streymoyar region, south",R47004
Kvinnur,,Suðuroyar region,R46006.6
Kvinnur,,Vága region,R44003.2
Kvinnur,00-17 ár,,5.5
Kvinnur,00-17 ár,Eysturoyar region,R42004.9
Kvinnur,00-17 ár,Norðoya region,R41008.1
Kvinnur,00-17 ár,Sandoyar region,R45005.7
Kvinnur,00-17 ár,"Streymoyar region, north",R43004
Kvinnur,00-17 ár,"Streymoyar region, south",R47004.3
Kvinnur,00-17 ár,Suðuroyar region,R460010
Kvinnur,00-17 ár,Vága region,R44005.1
