Year,Units,Series,Value
2011,,,100.0
2012,,,100.0
2013,,,100.0
2014,,,100.0
2015,,,100.0
2016,,,100.0
2017,,,100.0
2018,,,100.0
2019,,,100.0
2020,,,100.0
2021,,,100.0
2022,,,100.0
2011,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2012,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2013,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2014,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2015,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2016,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2017,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2018,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2019,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2020,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2021,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
2022,%,"Partur av børnum undir 5 ár, har føðingin er skrásett hjá almennum myndugleika",100.0
