Year,Units,kyn,Series,Value
2015,Í tali,Kvinnur,Býur,8.6221762372823
2015,Í tali,Kvinnur,Bygd,120.710467321952
2015,Í tali,Kvinnur,Sukursjúka,0.0
2015,Í tali,Kvinnur,Kroniskar sjúkur í andaleiðini,25.8665287118469
2016,Í tali,,Tilsamans,248.553500122239
2016,Í tali,,Býur,65.1943606878005
2016,Í tali,,Bygd,158.911254176514
2016,Í tali,,Sukursjúka,16.2985901719501
2016,Í tali,,Kroniskar sjúkur í andaleiðini,8.1492950859751
2016,Í tali,Menn,Tilsamans,288.566526282951
2016,Í tali,Menn,Býur,85.7900483543909
2016,Í tali,Menn,Bygd,171.580096708782
2016,Í tali,Menn,Sukursjúka,23.3972859148339
2016,Í tali,Menn,Kroniskar sjúkur í andaleiðini,7.7990953049446
2016,Í tali,Kvinnur,Tilsamans,204.778156996587
2016,Í tali,Kvinnur,Býur,42.6621160409556
2016,Í tali,Kvinnur,Bygd,145.051194539249
2016,Í tali,Kvinnur,Sukursjúka,8.5324232081911
2016,Í tali,Kvinnur,Kroniskar sjúkur í andaleiðini,8.5324232081911
2017,Í tali,,Tilsamans,294.515159461804
2017,Í tali,,Býur,84.7235390232586
2017,Í tali,,Bygd,193.653803481734
2017,Í tali,,Sukursjúka,0.0
2017,Í tali,,Kroniskar sjúkur í andaleiðini,16.1378169568112
2017,Í tali,Menn,Tilsamans,363.481690576544
2017,Í tali,Menn,Býur,139.205753837825
2017,Í tali,Menn,Bygd,208.808630756738
2017,Í tali,Menn,Sukursjúka,0.0
2017,Í tali,Menn,Kroniskar sjúkur í andaleiðini,15.4673059819806
2017,Í tali,Kvinnur,Tilsamans,219.298245614035
2017,Í tali,Kvinnur,Býur,25.3036437246964
2017,Í tali,Kvinnur,Bygd,177.125506072874
2017,Í tali,Kvinnur,Sukursjúka,0.0
2017,Í tali,Kvinnur,Kroniskar sjúkur í andaleiðini,16.8690958164642
2018,Í tali,,Tilsamans,238.986696407233
2018,Í tali,,Býur,51.7804508882339
2018,Í tali,,Bygd,163.307575878276
2018,Í tali,,Sukursjúka,0.0
2018,Í tali,,Kroniskar sjúkur í andaleiðini,23.8986696407233
2018,Í tali,Menn,Tilsamans,320.15855471281
2018,Í tali,Menn,Býur,76.2282273125739
2018,Í tali,Menn,Bygd,205.816213743949
2018,Í tali,Menn,Sukursjúka,0.0
2018,Í tali,Menn,Kroniskar sjúkur í andaleiðini,38.1141136562869
