Year,Units,Series,Value
2007,Í tali,Møður deyðar í barnferð,0.0
2008,Í tali,Møður deyðar í barnferð,0.0
2009,Í tali,Møður deyðar í barnferð,0.0
2010,Í tali,Møður deyðar í barnferð,0.0
2011,Í tali,Møður deyðar í barnferð,0.0
2012,Í tali,Møður deyðar í barnferð,0.0
2013,Í tali,Møður deyðar í barnferð,0.0
2014,Í tali,Møður deyðar í barnferð,0.0
2015,Í tali,Møður deyðar í barnferð,0.0
2016,Í tali,Møður deyðar í barnferð,0.0
2017,Í tali,Møður deyðar í barnferð,0.0
2018,Í tali,Møður deyðar í barnferð,0.0
2019,Í tali,Møður deyðar í barnferð,0.0
2020,Í tali,Møður deyðar í barnferð,0.0
2021,Í tali,Møður deyðar í barnferð,0.0
