Year,Mát,Vørubólkur,Value
2011,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Ídnaðarvørur,2.01586
2011,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Pløgg,8.33886
2011,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Klædnavørur,3.91534
2012,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Tilsamans,3.77731
2012,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Landbúnaðarvørur,7.77933
2012,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Ídnaðarvørur,3.60596
2012,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Pløgg,12.1584
2012,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Klædnavørur,7.46554
2012,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Tilsamans,2.50533
2012,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Landbúnaðarvørur,7.37054
2012,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Ídnaðarvørur,2.33854
2012,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Pløgg,8.32544
2012,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Klædnavørur,3.91215
2013,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Tilsamans,3.50824
2013,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Landbúnaðarvørur,7.62437
2013,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Ídnaðarvørur,3.34706
2013,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Pløgg,12.14938
2013,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Klædnavørur,7.45716
2013,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Tilsamans,2.40118
2013,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Landbúnaðarvørur,7.21558
