Year,Units,data.material type,Value
2013,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,297.81
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,22.68
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.13
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,9.25
2013,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,6.19
2013,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,70.76
2013,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,22.25
2013,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,0.32
2013,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,28.85
2013,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,19.33
2014,Innlendis tilfarsnýtsla (1.000 tons),,1468.98
2014,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,365.42
2014,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,6.06
2014,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,786.08
2014,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,311.41
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,30.38
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.56
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.13
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,16.26
2014,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,6.44
2014,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,90.43
2014,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,22.5
2014,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,0.37
2014,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,48.39
2014,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,19.17
2015,Innlendis tilfarsnýtsla (1.000 tons),,1222.53
2015,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,404.2
2015,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,2.01
2015,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,463.25
2015,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,353.07
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,25.03
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,8.28
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.04
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,9.48
2015,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,7.23
2015,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,74.53
2015,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,24.64
2015,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,0.12
2015,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,28.24
2015,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,21.53
2016,Innlendis tilfarsnýtsla (1.000 tons),,1356.83
2016,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,304.85
2016,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,18.68
2016,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,675.06
2016,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,358.24
2016,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,27.44
2016,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,6.17
2016,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.38
2016,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,13.65
2016,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,7.25
2016,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,81.52
2016,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,18.32
2016,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,1.12
2016,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,40.56
2016,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,21.52
2017,Innlendis tilfarsnýtsla (1.000 tons),,1617.55
2017,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,442.7
2017,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,46.62
2017,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,757.36
2017,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,370.88
2017,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,32.27
2017,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,8.83
2017,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.93
2017,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,15.11
2017,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,7.4
2017,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,93.89
2017,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,25.7
2017,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,2.71
2017,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,43.96
2017,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,21.53
2018,Innlendis tilfarsnýtsla (1.000 tons),,1579.56
2018,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,408.98
2018,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,47.27
2018,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,764.78
2018,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,358.54
2018,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,31.05
2018,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,8.04
2018,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.93
2018,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,15.04
2018,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,7.05
2018,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,89.25
2018,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,23.11
2018,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,2.67
2018,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,43.21
2018,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,20.26
2019,Innlendis tilfarsnýtsla (1.000 tons),,1614.53
2019,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,374.53
2019,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,26.16
2019,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,872.56
2019,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,341.27
2019,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,31.24
2019,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.25
2019,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.51
2019,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,16.88
2019,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,6.6
2019,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,86.92
2019,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,20.16
2019,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,1.41
