Year,Units,Slag av tilfari,Value
2002,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,191.2
2002,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,23.7
2002,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,9.9
2002,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2002,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,9.7
2002,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,4.0
2002,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,111.2
2002,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,46.4
2002,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.5
2002,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,45.3
2002,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,19.0
2003,Innlendis tilfarsnýtsla (1.000 tons),,1183.3
2003,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,565.8
2003,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,5.1
2003,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,424.2
2003,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,188.2
2003,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,24.7
2003,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,11.8
2003,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2003,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,8.9
2003,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.9
2003,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,119.7
2003,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,57.3
2003,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.5
2003,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,42.9
2003,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,19.0
2004,Innlendis tilfarsnýtsla (1.000 tons),,1141.9
2004,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,536.1
2004,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,6.7
2004,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,409.0
2004,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,190.1
2004,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,23.7
2004,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,11.1
2004,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2004,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,8.5
2004,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.9
2004,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,111.6
2004,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,52.4
2004,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.7
2004,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,40.0
2004,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,18.6
2005,Innlendis tilfarsnýtsla (1.000 tons),,1201.5
