Year,Units,Series,Value
1993,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.3
1994,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.3
1995,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.3
1996,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.7
1997,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.6
1998,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.6
1999,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.6
2000,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.8
2001,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,7.0
2002,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,7.1
2003,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,7.0
2004,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.8
2005,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.6
2006,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.9
2007,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,7.2
2008,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,7.0
2009,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.9
2010,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.7
2011,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.4
2012,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.6
2013,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.3
2014,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.3
2015,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.4
2016,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.3
2017,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.5
2018,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.4
2019,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.4
2020,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.5
2021,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.7
2022,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár,6.5
