Year,Series,kelda,Units,Høvuðskelda,Value
2008,,,,,0.761614112785
2008,,,,Nýtsla av brennievni,0.739940645677
2008,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.136896103115
2008,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.05620738158
2008,,Flutningsvinna,,Nýtsla av brennievni,0.142791899042
2008,,Aðrar vinnur,,Nýtsla av brennievni,0.40404526194
2008,,,,Bunkring,0.021673467108
2008,,Flogfør,,Bunkring,0.000999433728
2008,,Skip,,Bunkring,0.02067403338
2009,,,,,0.83575398112
2009,,,,Nýtsla av brennievni,0.77145324394
2009,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.131608640235
2009,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.043329031035
2009,,Flutningsvinna,,Nýtsla av brennievni,0.13761590422
2009,,Aðrar vinnur,,Nýtsla av brennievni,0.45889966845
2009,,,,Bunkring,0.06430073718
2009,,Flogfør,,Bunkring,0.000745416
2009,,Skip,,Bunkring,0.06355532118
2010,,,,,0.8835445323
2010,,,,Nýtsla av brennievni,0.84746971989
2010,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.16400114503
2010,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.04375500066
2010,,Flutningsvinna,,Nýtsla av brennievni,0.13294381649
2010,,Aðrar vinnur,,Nýtsla av brennievni,0.50676975771
2010,,,,Bunkring,0.03607481241
2010,,Flogfør,,Bunkring,0.000773604
2010,,Skip,,Bunkring,0.03530120841
2011,,,,,0.77399522424
2011,,,,Nýtsla av brennievni,0.73008170643
2011,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.1333468026
2011,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.04339047174
2011,,Flutningsvinna,,Nýtsla av brennievni,0.13661417121
2011,,Aðrar vinnur,,Nýtsla av brennievni,0.41673026088
2011,,,,Bunkring,0.04391351781
2011,,Flogfør,,Bunkring,0.001199556
2011,,Skip,,Bunkring,0.04271396181
2012,,,,,0.870822707815
2012,,,,Nýtsla av brennievni,0.816465326155
2012,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.148784378609
2012,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.048901583076
2012,,Flutningsvinna,,Nýtsla av brennievni,0.13247992916
2012,,Aðrar vinnur,,Nýtsla av brennievni,0.48629943531
2012,,,,Bunkring,0.05435738166
2012,,Flogfør,,Bunkring,0.001293516
2012,,Skip,,Bunkring,0.05306386566
2013,,,,,0.808483916232
2013,,,,Nýtsla av brennievni,0.788829216612
2013,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.13659414299
2013,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.049824989682
2013,,Flutningsvinna,,Nýtsla av brennievni,0.12495354328
2013,,Aðrar vinnur,,Nýtsla av brennievni,0.47745654066
2013,,,,Bunkring,0.01965469962
2013,,Flogfør,,Bunkring,0.001130652
2013,,Skip,,Bunkring,0.01852404762
2014,,,,,0.849716660636
2014,,,,Nýtsla av brennievni,0.818944348526
2014,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.12454809929
2014,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.060787479366
2014,,Flutningsvinna,,Nýtsla av brennievni,0.12952569183
2014,,Aðrar vinnur,,Nýtsla av brennievni,0.50408307804
2014,,,,Bunkring,0.03077231211
2014,,Flogfør,,Bunkring,0.000836244
2014,,Skip,,Bunkring,0.02993606811
2015,,,,,0.806052373556
2015,,,,Nýtsla av brennievni,0.788962581566
2015,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.102133592949
2015,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.063252240597
2015,,Flutningsvinna,,Nýtsla av brennievni,0.12740415497
2015,,Aðrar vinnur,,Nýtsla av brennievni,0.49617259305
2015,,,,Bunkring,0.01708979199
2015,,Flogfør,,Bunkring,0.000441612
2015,,Skip,,Bunkring,0.01664817999
2016,,,,,0.83605807704
2016,,,,Nýtsla av brennievni,0.787743280707
2016,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.125549164776
2016,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.064846592931
2016,,Flutningsvinna,,Nýtsla av brennievni,0.1473393891
2016,,Aðrar vinnur,,Nýtsla av brennievni,0.4500081339
2016,,,,Bunkring,0.048314796333
2016,,Flogfør,,Bunkring,0.000726624
2016,,Skip,,Bunkring,0.047588172333
2017,,,,,1.001444353881
2017,,,,Nýtsla av brennievni,0.949482067611
2017,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.1243864284385
2017,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.0856012244325
2017,,Flutningsvinna,,Nýtsla av brennievni,0.15024302162
2017,,Aðrar vinnur,,Nýtsla av brennievni,0.58925139312
2017,,,,Bunkring,0.05196228627
2017,,Flogfør,,Bunkring,0.000645192
2017,,Skip,,Bunkring,0.05131709427
2018,,,,,1.107306905731
2018,,,,Nýtsla av brennievni,1.045891919731
2018,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.136632088308
2018,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.081812712693
2018,,Flutningsvinna,,Nýtsla av brennievni,0.15927373909
2018,,Aðrar vinnur,,Nýtsla av brennievni,0.66817337964
2018,,,,Bunkring,0.061414986
2018,,Flogfør,,Bunkring,0.000786132
2018,,Skip,,Bunkring,0.060628854
2019,,,,,1.132443546626
2019,,,,Nýtsla av brennievni,1.088968975166
2019,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.175797183088
2019,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.079782782148
2019,,Flutningsvinna,,Nýtsla av brennievni,0.168582067
2019,,Aðrar vinnur,,Nýtsla av brennievni,0.66480694293
2019,,,,Bunkring,0.04347457146
2019,,Flogfør,,Bunkring,0.000757944
2019,,Skip,,Bunkring,0.04271662746
2020,,,,,1.1896239732705
2020,,,,Nýtsla av brennievni,1.1279217339405
2020,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.1855299820295
2020,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.085318415931
2020,,Flutningsvinna,,Nýtsla av brennievni,0.16794943687
2020,,Aðrar vinnur,,Nýtsla av brennievni,0.68912389911
2020,,,,Bunkring,0.06170223933
2020,,Flogfør,,Bunkring,0.000216108
2020,,Skip,,Bunkring,0.06148613133
2021,,,,,1.211718906745
2021,,,,Nýtsla av brennievni,1.130188369615
2021,,El- og hitaframleiðsla,,Nýtsla av brennievni,0.1928290093225
2021,,Framleiðslu- og byggivinna,,Nýtsla av brennievni,0.0675467873025
2021,,Flutningsvinna,,Nýtsla av brennievni,0.17080696137
2021,,Aðrar vinnur,,Nýtsla av brennievni,0.69900561162
2021,,,,Bunkring,0.08153053713
2021,,Flogfør,,Bunkring,0.000416556
2021,,Skip,,Bunkring,0.08111398113
