Year,Mát,Bandbreidd,Value
2014,Breiðsbandshald fyri hvørjar 100 íbúgvar,,35.0
2014,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,2.1
2014,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,23.1
2014,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,9.8
2014,Breiðbandshald,,16826
2014,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,1022
2014,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,11110
2014,Breiðbandshald,10 Mbit/s ella meir,4694
2015,Breiðsbandshald fyri hvørjar 100 íbúgvar,,35.7
2015,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,1.3
2015,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,23.2
2015,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,11.2
2015,Breiðbandshald,,17330
2015,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,633
2015,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,11278
2015,Breiðbandshald,10 Mbit/s ella meir,5419
2016,Breiðsbandshald fyri hvørjar 100 íbúgvar,,36.2
2016,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,0.7
2016,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,11.2
2016,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,24.4
2016,Breiðbandshald,,17792
2016,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,323
2016,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,5477
2016,Breiðbandshald,10 Mbit/s ella meir,11992
2017,Breiðsbandshald fyri hvørjar 100 íbúgvar,,36.1
2017,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,0.4
2017,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,8.0
2017,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,27.7
2017,Breiðbandshald,,17973
2017,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,186
2017,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,3972
2017,Breiðbandshald,10 Mbit/s ella meir,13815
2018,Breiðsbandshald fyri hvørjar 100 íbúgvar,,35.8
2018,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,0.4
2018,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,5.1
2018,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,30.3
2018,Breiðbandshald,,18041
2018,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,178
2018,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,2550
2018,Breiðbandshald,10 Mbit/s ella meir,15313
2019,Breiðsbandshald fyri hvørjar 100 íbúgvar,,35.5
2019,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,0.2
2019,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,4.1
2019,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,31.1
2019,Breiðbandshald,,18181
2019,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,124
2019,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,2094
2019,Breiðbandshald,10 Mbit/s ella meir,15963
2020,Breiðsbandshald fyri hvørjar 100 íbúgvar,,34.9
2020,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,0.2
2020,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,3.1
2020,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,31.6
2020,Breiðbandshald,,18180
2020,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,97
2020,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,1614
2020,Breiðbandshald,10 Mbit/s ella meir,16469
2021,Breiðsbandshald fyri hvørjar 100 íbúgvar,,34.9
2021,Breiðsbandshald fyri hvørjar 100 íbúgvar,256 Kbit/s upp til men undir 2 Mbit/s,0.1
2021,Breiðsbandshald fyri hvørjar 100 íbúgvar,2 Mbit/s upp til men undir 10Mbit/s,2.4
2021,Breiðsbandshald fyri hvørjar 100 íbúgvar,10 Mbit/s ella meir,32.3
2021,Breiðbandshald,,18443
2021,Breiðbandshald,256 Kbit/s upp til men undir 2 Mbit/s,74
2021,Breiðbandshald,2 Mbit/s upp til men undir 10Mbit/s,1270
2021,Breiðbandshald,10 Mbit/s ella meir,17099
