Year,Units,Series,Value
2009,pct.,Annual growth rate of real GDP per employed person,0.5570583926424
2010,pct.,Annual growth rate of real GDP per employed person,3.50864598744762
2011,pct.,Annual growth rate of real GDP per employed person,7.0553584911996
2012,pct.,Annual growth rate of real GDP per employed person,-1.62392092054314
2013,pct.,Annual growth rate of real GDP per employed person,7.33167927297485
2014,pct.,Annual growth rate of real GDP per employed person,3.95279199081768
2015,pct.,Annual growth rate of real GDP per employed person,-1.75654995031878
2016,pct.,Annual growth rate of real GDP per employed person,1.33677828546925
2017,pct.,Annual growth rate of real GDP per employed person,1.51210757677327
2018,pct.,Annual growth rate of real GDP per employed person,-1.7250994227059
2019,pct.,Annual growth rate of real GDP per employed person,2.07302678719263
2020,pct.,Annual growth rate of real GDP per employed person,-1.73808003039708
2021,pct.,Annual growth rate of real GDP per employed person,5.28530961572886
2022,pct.,Annual growth rate of real GDP per employed person,0.66196028959682
2023,pct.,Annual growth rate of real GDP per employed person,2.43498425213842
