Year,Series,sex,age,Units,Value
2009,SI_POV_50MI,,,PCT,3.9
2010,SI_POV_50MI,,,PCT,4.1
2011,SI_POV_50MI,,,PCT,4.4
2012,SI_POV_50MI,,,PCT,4.7
2013,SI_POV_50MI,,,PCT,3.7
2014,SI_POV_50MI,,,PCT,3.6
2015,SI_POV_50MI,,,PCT,3.3
2016,SI_POV_50MI,,,PCT,3.3
2017,SI_POV_50MI,,,PCT,3.0
2018,SI_POV_50MI,,,PCT,2.9
2019,SI_POV_50MI,,,PCT,2.6
2020,SI_POV_50MI,,,PCT,2.4
2021,SI_POV_50MI,,,PCT,2.6
2022,SI_POV_50MI,,,PCT,2.5
2023,SI_POV_50MI,,,PCT,2.5
2024,SI_POV_50MI,,,PCT,2.9
2009,SI_POV_50MI,,Age0-17,PCT,5.2
2010,SI_POV_50MI,,Age0-17,PCT,5.4
2011,SI_POV_50MI,,Age0-17,PCT,5.7
2012,SI_POV_50MI,,Age0-17,PCT,6.3
2013,SI_POV_50MI,,Age0-17,PCT,5.2
2014,SI_POV_50MI,,Age0-17,PCT,5.0
2015,SI_POV_50MI,,Age0-17,PCT,4.4
2016,SI_POV_50MI,,Age0-17,PCT,4.4
2017,SI_POV_50MI,,Age0-17,PCT,3.9
2018,SI_POV_50MI,,Age0-17,PCT,3.5
2019,SI_POV_50MI,,Age0-17,PCT,3.4
2020,SI_POV_50MI,,Age0-17,PCT,3.4
2021,SI_POV_50MI,,Age0-17,PCT,3.5
2022,SI_POV_50MI,,Age0-17,PCT,3.3
2023,SI_POV_50MI,,Age0-17,PCT,3.2
2024,SI_POV_50MI,,Age0-17,PCT,3.8
2009,SI_POV_50MI,,Age18-24,PCT,4.0
2010,SI_POV_50MI,,Age18-24,PCT,4.5
2011,SI_POV_50MI,,Age18-24,PCT,5.6
2012,SI_POV_50MI,,Age18-24,PCT,6.1
2013,SI_POV_50MI,,Age18-24,PCT,4.4
2014,SI_POV_50MI,,Age18-24,PCT,4.7
2015,SI_POV_50MI,,Age18-24,PCT,4.1
2016,SI_POV_50MI,,Age18-24,PCT,3.8
2017,SI_POV_50MI,,Age18-24,PCT,3.1
2018,SI_POV_50MI,,Age18-24,PCT,3.5
2019,SI_POV_50MI,,Age18-24,PCT,3.2
2020,SI_POV_50MI,,Age18-24,PCT,2.8
2021,SI_POV_50MI,,Age18-24,PCT,3.3
2022,SI_POV_50MI,,Age18-24,PCT,3.1
2023,SI_POV_50MI,,Age18-24,PCT,3.4
2024,SI_POV_50MI,,Age18-24,PCT,3.6
2009,SI_POV_50MI,,Age25-54,PCT,3.5
2010,SI_POV_50MI,,Age25-54,PCT,3.9
2011,SI_POV_50MI,,Age25-54,PCT,4.1
2012,SI_POV_50MI,,Age25-54,PCT,4.4
2013,SI_POV_50MI,,Age25-54,PCT,3.4
2014,SI_POV_50MI,,Age25-54,PCT,3.2
2015,SI_POV_50MI,,Age25-54,PCT,3.2
2016,SI_POV_50MI,,Age25-54,PCT,3.1
2017,SI_POV_50MI,,Age25-54,PCT,2.9
2018,SI_POV_50MI,,Age25-54,PCT,2.8
2019,SI_POV_50MI,,Age25-54,PCT,2.6
2020,SI_POV_50MI,,Age25-54,PCT,2.3
2021,SI_POV_50MI,,Age25-54,PCT,2.8
2022,SI_POV_50MI,,Age25-54,PCT,2.7
2023,SI_POV_50MI,,Age25-54,PCT,2.6
2024,SI_POV_50MI,,Age25-54,PCT,3.1
2009,SI_POV_50MI,,Age55-66,PCT,3.6
2010,SI_POV_50MI,,Age55-66,PCT,3.4
2011,SI_POV_50MI,,Age55-66,PCT,3.4
2012,SI_POV_50MI,,Age55-66,PCT,3.7
2013,SI_POV_50MI,,Age55-66,PCT,3.1
2014,SI_POV_50MI,,Age55-66,PCT,3.1
2015,SI_POV_50MI,,Age55-66,PCT,2.7
2016,SI_POV_50MI,,Age55-66,PCT,2.8
2017,SI_POV_50MI,,Age55-66,PCT,2.7
2018,SI_POV_50MI,,Age55-66,PCT,2.3
2019,SI_POV_50MI,,Age55-66,PCT,2.2
2020,SI_POV_50MI,,Age55-66,PCT,2.0
2021,SI_POV_50MI,,Age55-66,PCT,2.1
2022,SI_POV_50MI,,Age55-66,PCT,2.0
2023,SI_POV_50MI,,Age55-66,PCT,2.0
2024,SI_POV_50MI,,Age55-66,PCT,2.2
2009,SI_POV_50MI,,Age67-,PCT,2.9
2010,SI_POV_50MI,,Age67-,PCT,2.5
2011,SI_POV_50MI,,Age67-,PCT,2.8
2012,SI_POV_50MI,,Age67-,PCT,2.3
2013,SI_POV_50MI,,Age67-,PCT,1.7
2014,SI_POV_50MI,,Age67-,PCT,1.9
2015,SI_POV_50MI,,Age67-,PCT,1.8
