Year,Units,Series,Value
1985,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.138692850568
1986,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.148100007646
1987,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.182349813929
1988,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.212609088173
1989,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.228723206657
1990,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.279619444032
1991,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.264346190028
1992,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.263126017337
1993,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.230309531106
1994,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.160783067943
1995,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.276328821393
1996,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.290052356021
1997,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.354056419017
1998,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.250361794501
1999,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.291529875246
2000,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.377543945512
2001,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.300228998433
2002,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.393700787402
2003,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.435996896819
2004,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.577881320035
2005,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.641491285445
2006,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.691950823475
2007,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.731205537397
2008,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.727535338751
2009,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.885486223041
2010,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.911743055287
2011,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",97.985611510791
2012,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.12230497844
2013,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.172251453891
2014,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.190063248339
2015,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.213581512738
2016,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.249941273197
2017,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.27145182544
2018,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.310063324941
2019,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.354420846513
2020,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.355299795805
2021,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.303159129224
2023,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.369466535933
2022,Í tali,"Partur av fólkinum uttan fyri býarøkir, ið býr nærri enn 2 km við ein heilársveg",98.383263718854
