Year,Units,Series,Value
2003,pct.,Primary government expenditures as a proportion of original approved budget,1.01677283702446
2004,pct.,Primary government expenditures as a proportion of original approved budget,1.01102265685089
2005,pct.,Primary government expenditures as a proportion of original approved budget,1.04042301185219
2006,pct.,Primary government expenditures as a proportion of original approved budget,1.02983732996269
2007,pct.,Primary government expenditures as a proportion of original approved budget,1.03744879424849
2008,pct.,Primary government expenditures as a proportion of original approved budget,1.04086776327415
2009,pct.,Primary government expenditures as a proportion of original approved budget,1.03610065518923
2010,pct.,Primary government expenditures as a proportion of original approved budget,0.99799269731632
2011,pct.,Primary government expenditures as a proportion of original approved budget,0.9956369009895
2012,pct.,Primary government expenditures as a proportion of original approved budget,0.98333116931627
2013,pct.,Primary government expenditures as a proportion of original approved budget,1.00379580602311
2014,pct.,Primary government expenditures as a proportion of original approved budget,1.03219934771418
2015,pct.,Primary government expenditures as a proportion of original approved budget,1.03663049183858
2016,pct.,Primary government expenditures as a proportion of original approved budget,1.02304607478175
2017,pct.,Primary government expenditures as a proportion of original approved budget,1.03802476457494
2018,pct.,Primary government expenditures as a proportion of original approved budget,1.05421917448685
2019,pct.,Primary government expenditures as a proportion of original approved budget,1.03827276996997
2020,pct.,Primary government expenditures as a proportion of original approved budget,1.08388622420963
2021,pct.,Primary government expenditures as a proportion of original approved budget,1.04884254483013
2022,pct.,Primary government expenditures as a proportion of original approved budget,0.87816073049773
