Year,Units,Series,Value
1985,In number,Neonatal mortality rate,12.1457489878542
1986,In number,Neonatal mortality rate,8.84955752212389
1987,In number,Neonatal mortality rate,11.5236875800256
1988,In number,Neonatal mortality rate,19.5402298850575
1989,In number,Neonatal mortality rate,19.31330472103
1990,In number,Neonatal mortality rate,9.50369588173179
1991,In number,Neonatal mortality rate,11.5473441108545
1992,In number,Neonatal mortality rate,11.1386138613861
1993,In number,Neonatal mortality rate,9.18635170603675
1994,In number,Neonatal mortality rate,11.9760479041916
1995,In number,Neonatal mortality rate,7.7639751552795
1996,In number,Neonatal mortality rate,8.88888888888889
1997,In number,Neonatal mortality rate,4.51127819548872
1998,In number,Neonatal mortality rate,0.0
1999,In number,Neonatal mortality rate,6.38977635782748
2000,In number,Neonatal mortality rate,2.88600288600289
2001,In number,Neonatal mortality rate,4.74683544303798
2002,In number,Neonatal mortality rate,4.23131170662906
2003,In number,Neonatal mortality rate,1.41843971631206
2004,In number,Neonatal mortality rate,4.20757363253857
2005,In number,Neonatal mortality rate,9.84528832630098
2006,In number,Neonatal mortality rate,12.0845921450151
2007,In number,Neonatal mortality rate,8.88888888888889
2008,In number,Neonatal mortality rate,4.49775112443778
2009,In number,Neonatal mortality rate,4.87012987012987
2010,In number,Neonatal mortality rate,4.67289719626168
2011,In number,Neonatal mortality rate,6.88468158347676
2012,In number,Neonatal mortality rate,17.7993527508091
2013,In number,Neonatal mortality rate,0.0
2014,In number,Neonatal mortality rate,7.82472613458529
2015,In number,Neonatal mortality rate,6.57894736842105
2016,In number,Neonatal mortality rate,4.43131462333826
2017,In number,Neonatal mortality rate,9.11854103343465
2018,In number,Neonatal mortality rate,0.0
2019,In number,Neonatal mortality rate,4.3859649122807
2020,In number,Neonatal mortality rate,2.93685756240822
2021,In number,Neonatal mortality rate,2.91970802919708
2022,In number,Neonatal mortality rate,11.0759493670886
2023,In number,Neonatal mortality rate,3.48432055749129
2024,In number,Neonatal mortality rate,8.53242320819113
