Year,Units,Series,Value
1998,PCT,SL_EMP_GTOTL,56.614478501087
1999,PCT,SL_EMP_GTOTL,57.021736367103
2000,PCT,SL_EMP_GTOTL,57.110230012985
2001,PCT,SL_EMP_GTOTL,57.997038325722
2002,PCT,SL_EMP_GTOTL,60.262255997616
2003,PCT,SL_EMP_GTOTL,61.151369980696
2004,PCT,SL_EMP_GTOTL,61.089497929006
2005,PCT,SL_EMP_GTOTL,61.523737325879
2006,PCT,SL_EMP_GTOTL,58.678856876162
2007,PCT,SL_EMP_GTOTL,59.406733737012
2008,PCT,SL_EMP_GTOTL,61.294973096891
2009,PCT,SL_EMP_GTOTL,61.038760571619
2010,PCT,SL_EMP_GTOTL,58.824022814964
2011,PCT,SL_EMP_GTOTL,58.054205135067
2012,PCT,SL_EMP_GTOTL,57.686973220954
2013,PCT,SL_EMP_GTOTL,55.122613098587
2014,PCT,SL_EMP_GTOTL,53.784821581432
2015,PCT,SL_EMP_GTOTL,53.580874285384
2016,PCT,SL_EMP_GTOTL,51.836499772946
2017,PCT,SL_EMP_GTOTL,52.489708797073
2018,PCT,SL_EMP_GTOTL,54.044241810199
2019,PCT,SL_EMP_GTOTL,54.294409533034
2020,PCT,SL_EMP_GTOTL,56.097959793877
2021,PCT,SL_EMP_GTOTL,54.356497094222
2022,PCT,SL_EMP_GTOTL,52.975018325178
2023,PCT,SL_EMP_GTOTL,52.898741841659
