Year,Series,Units,Value
2002,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2003,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2004,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2005,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2006,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2007,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2007,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2008,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2008,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2009,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2009,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2010,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2010,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2011,The police,"Number of victims of intentional homicide per 100,000 population",4.13860177339086
2011,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2012,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2012,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2013,The police,"Number of victims of intentional homicide per 100,000 population",2.07867796081692
2013,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",2.07867796081692
2014,The police,"Number of victims of intentional homicide per 100,000 population",2.06675622610313
2014,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",4.13351245220626
2015,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2015,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2016,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2016,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2017,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2017,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2018,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2018,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2019,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2019,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2020,The police,"Number of victims of intentional homicide per 100,000 population",0.0
2020,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
2021,The Chief Medical Officer,"Number of victims of intentional homicide per 100,000 population",0.0
