Year,Units,Series,Value
2003,PCT,GF_XPD_GBPC,1.01677283702446
2004,PCT,GF_XPD_GBPC,1.01102265685089
2005,PCT,GF_XPD_GBPC,1.04042301185219
2006,PCT,GF_XPD_GBPC,1.02983732996269
2007,PCT,GF_XPD_GBPC,1.03744879424849
2008,PCT,GF_XPD_GBPC,1.04086776327415
2009,PCT,GF_XPD_GBPC,1.03610065518923
2010,PCT,GF_XPD_GBPC,0.99799269731632
2011,PCT,GF_XPD_GBPC,0.9956369009895
2012,PCT,GF_XPD_GBPC,0.98333116931627
2013,PCT,GF_XPD_GBPC,1.00379580602311
2014,PCT,GF_XPD_GBPC,1.03219934771418
2015,PCT,GF_XPD_GBPC,1.03663049183858
2016,PCT,GF_XPD_GBPC,1.02304607478175
2017,PCT,GF_XPD_GBPC,1.03802476457494
2018,PCT,GF_XPD_GBPC,1.05421917448685
2019,PCT,GF_XPD_GBPC,1.03827276996997
2020,PCT,GF_XPD_GBPC,1.08388622420963
2021,PCT,GF_XPD_GBPC,1.04884254483013
2022,PCT,GF_XPD_GBPC,0.87816073049773
