Year,Units,Series,orkukelda,Orkukelda,Value
2006,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2006,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2007,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,741.032797601137
2007,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,655.744508658525
2007,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,85.288288942612
2007,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2007,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2007,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2007,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2008,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,739.628425260454
2008,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,654.501770882956
2008,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,85.1266543774984
2008,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2008,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2008,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2008,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2009,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,737.002868759416
2009,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,652.178399686294
2009,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,84.8244690731224
2009,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2009,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2009,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2009,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2010,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,735.613715250955
2010,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,650.9491291495431
2010,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,84.6645861014121
2010,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2010,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2010,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2010,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2011,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,736.926823228363
2011,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,652.111106525238
2011,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,84.8157167031244
2011,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2011,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2011,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2011,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2012,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,991.863859387616
2012,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,813.614061238432
2012,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,178.249798149183
