Year,Units,Series,Value
1985,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,12.1457489878542
1986,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,8.84955752212389
1987,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,11.5236875800256
1988,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,19.5402298850575
1989,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,19.31330472103
1990,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,9.50369588173179
1991,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,11.5473441108545
1992,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,11.1386138613861
1993,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,9.18635170603675
1994,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,11.9760479041916
1995,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,7.7639751552795
1996,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,8.88888888888889
1997,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.51127819548872
1998,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,0.0
1999,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,6.38977635782748
2000,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,2.88600288600289
2001,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.74683544303798
2002,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.23131170662906
2003,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.41843971631206
2004,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.20757363253857
2005,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,9.84528832630098
2006,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,12.0845921450151
2007,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,8.88888888888889
2008,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.49775112443778
2009,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.87012987012987
2010,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.67289719626168
2011,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,6.88468158347676
2012,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,17.7993527508091
2013,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,0.0
2014,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,7.82472613458529
2015,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,6.57894736842105
2016,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.43131462333826
2017,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,9.11854103343465
2018,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,0.0
2019,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.3859649122807
2020,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,2.93685756240822
2021,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,2.91970802919708
2022,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,11.0759493670886
2023,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,3.48432055749129
2024,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,8.53242320819113
