Year,Units,Series,Value
2007,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,952.328
2008,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,190.1
2009,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,0.0
2010,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,0.0
2011,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,0.0
2012,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,0.0
2013,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,0.0
2014,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,0.0
2020,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,487.85
2021,"DKK 1,000",Sustainable Development Goals. Indicator 8.a.1,348.536
