Year,Series,Units,Value
1990,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.81
1991,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.78499586190514
1992,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.7748076529339
1993,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.66405315203216
1994,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.68695053193825
1995,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.67713494787723
1996,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.69750391122653
1997,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.69333302655373
1998,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.73803183006083
1999,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.76956590160124
2000,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.80899266711242
2001,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.98616687273745
2002,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.93749966765133
2003,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.94314854688244
2004,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.94653015834074
2005,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.94525621564841
2006,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.93234406616516
2007,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.95979412872527
2008,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.89239197402528
2009,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.92375456502523
2010,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,1.00081558658348
2011,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.88222215250949
2012,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.97447244775144
2013,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.95219648536849
2014,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.99043285202834
2015,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.96985247285307
2016,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,0.9784196323454
2017,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,1.14918085334615
2018,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,1.24384747592317
2019,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,1.2931245260821
2020,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,1.33149617227421
2021,Total greenhouse gas emissions per year,CO2 equivalent million tonnes,1.33904873665974
