Year,Units,Series,Value
2007,In number,Maternal mortality rate,0.0
2008,In number,Maternal mortality rate,0.0
2009,In number,Maternal mortality rate,0.0
2010,In number,Maternal mortality rate,0.0
2011,In number,Maternal mortality rate,0.0
2012,In number,Maternal mortality rate,0.0
2013,In number,Maternal mortality rate,0.0
2014,In number,Maternal mortality rate,0.0
2015,In number,Maternal mortality rate,0.0
2016,In number,Maternal mortality rate,0.0
2017,In number,Maternal mortality rate,0.0
2018,In number,Maternal mortality rate,0.0
2019,In number,Maternal mortality rate,0.0
2020,In number,Maternal mortality rate,0.0
2021,In number,Maternal mortality rate,0.0
