Year,Units,Series,Value
2018,Degree,Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,4.0
2022,Degree,Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,4.0
2018,,,4.0
2022,,,4.0
