Year,Units,Series,Value
2009,,,0.82
2010,,,3.3
2011,,,7.2
2012,,,-1.68
2013,,,7.33
2014,,,3.95
2015,,,-1.74
2016,,,1.42
2017,,,1.51
2018,,,-1.76
2019,,,2.48
2020,,,-2.73
2021,,,5.42
2009,pct.,Annual growth rate of real GDP per employed capita,0.82
2010,pct.,Annual growth rate of real GDP per employed capita,3.3
2011,pct.,Annual growth rate of real GDP per employed capita,7.2
2012,pct.,Annual growth rate of real GDP per employed capita,-1.68
2013,pct.,Annual growth rate of real GDP per employed capita,7.33
2014,pct.,Annual growth rate of real GDP per employed capita,3.95
2015,pct.,Annual growth rate of real GDP per employed capita,-1.74
2016,pct.,Annual growth rate of real GDP per employed capita,1.42
2017,pct.,Annual growth rate of real GDP per employed capita,1.51
2018,pct.,Annual growth rate of real GDP per employed capita,-1.76
2019,pct.,Annual growth rate of real GDP per employed capita,2.48
2020,pct.,Annual growth rate of real GDP per employed capita,-2.73
2021,pct.,Annual growth rate of real GDP per employed capita,5.42
