Year,Measure,Bandbreidd,Value
2018,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,5.1
2018,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,30.3
2018,Fixed broadband subscriptions (number),,18041
2018,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,178
2018,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,2550
2018,Fixed broadband subscriptions (number),10 Mbit/s or more,15313
2019,Fixed broadband subscriptions per 100 inhabitants,,35.5
2019,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,0.2
2019,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,4.1
2019,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,31.1
2019,Fixed broadband subscriptions (number),,18181
2019,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,124
2019,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,2094
2019,Fixed broadband subscriptions (number),10 Mbit/s or more,15963
2020,Fixed broadband subscriptions per 100 inhabitants,,34.9
2020,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,0.2
2020,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,3.1
2020,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,31.6
2020,Fixed broadband subscriptions (number),,18180
2020,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,97
2020,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,1614
2020,Fixed broadband subscriptions (number),10 Mbit/s or more,16469
2021,Fixed broadband subscriptions per 100 inhabitants,,34.9
2021,Fixed broadband subscriptions per 100 inhabitants,256 Kbit/s to less than 2 Mbit/s,0.1
2021,Fixed broadband subscriptions per 100 inhabitants,2 Mbit/s to less than 10 Mbit/s,2.4
2021,Fixed broadband subscriptions per 100 inhabitants,10 Mbit/s or more,32.3
2021,Fixed broadband subscriptions (number),,18443
2021,Fixed broadband subscriptions (number),256 Kbit/s to less than 2 Mbit/s,74
2021,Fixed broadband subscriptions (number),2 Mbit/s to less than 10 Mbit/s,1270
2021,Fixed broadband subscriptions (number),10 Mbit/s or more,17099
