Year,Units,Series,Value
2009,pct.,Annual growth rate of real GDP per capita,-4.70836261419537
2010,pct.,Annual growth rate of real GDP per capita,-0.221238938053081
2011,pct.,Annual growth rate of real GDP per capita,3.91722099039171
2012,pct.,Annual growth rate of real GDP per capita,7.50355618776673
2013,pct.,Annual growth rate of real GDP per capita,5.9212702613298
2014,pct.,Annual growth rate of real GDP per capita,4.84072454715803
2015,pct.,Annual growth rate of real GDP per capita,-0.059577003276734
2016,pct.,Annual growth rate of real GDP per capita,0.149031296572288
2017,pct.,Annual growth rate of real GDP per capita,2.11309523809524
2018,pct.,Annual growth rate of real GDP per capita,1.28242494899447
2019,pct.,Annual growth rate of real GDP per capita,2.9064748201439
2020,pct.,Annual growth rate of real GDP per capita,-3.13199105145415
2021,pct.,Annual growth rate of real GDP per capita,4.07043879907623
2022,pct.,Annual growth rate of real GDP per capita,2.38557558945909
2023,pct.,Annual growth rate of real GDP per capita,1.59848279599024
