Year,Main source,Source,Value
2009,Fuel combustion,,0.8
2009,Fuel combustion,Energy industries,0.1
2009,Fuel combustion,Manufacturing industries and construction,0.0
2009,Fuel combustion,Transport sector,0.1
2009,Fuel combustion,Other sectors,0.5
2009,International Bunkers,,0.1
2009,International Bunkers,Aviation,0.0
2009,International Bunkers,Navigation,0.1
2010,,,0.9
2010,Fuel combustion,,0.8
2010,Fuel combustion,Energy industries,0.2
2010,Fuel combustion,Manufacturing industries and construction,0.0
2010,Fuel combustion,Transport sector,0.1
2010,Fuel combustion,Other sectors,0.5
2010,International Bunkers,,0.0
2010,International Bunkers,Aviation,0.0
2010,International Bunkers,Navigation,0.0
2011,,,0.8
2011,Fuel combustion,,0.7
2011,Fuel combustion,Energy industries,0.1
2011,Fuel combustion,Manufacturing industries and construction,0.0
2011,Fuel combustion,Transport sector,0.1
2011,Fuel combustion,Other sectors,0.4
2011,International Bunkers,,0.0
2011,International Bunkers,Aviation,0.0
2011,International Bunkers,Navigation,0.0
2012,,,0.9
2012,Fuel combustion,,0.8
2012,Fuel combustion,Energy industries,0.1
2012,Fuel combustion,Manufacturing industries and construction,0.0
2012,Fuel combustion,Transport sector,0.1
2012,Fuel combustion,Other sectors,0.5
2012,International Bunkers,,0.1
2012,International Bunkers,Aviation,0.0
2012,International Bunkers,Navigation,0.1
2013,,,0.8
2013,Fuel combustion,,0.8
2013,Fuel combustion,Energy industries,0.1
2013,Fuel combustion,Manufacturing industries and construction,0.0
2013,Fuel combustion,Transport sector,0.1
2013,Fuel combustion,Other sectors,0.5
2013,International Bunkers,,0.0
2013,International Bunkers,Aviation,0.0
2013,International Bunkers,Navigation,0.0
2014,,,0.8
2014,Fuel combustion,,0.8
2014,Fuel combustion,Energy industries,0.1
2014,Fuel combustion,Manufacturing industries and construction,0.1
2014,Fuel combustion,Transport sector,0.1
2014,Fuel combustion,Other sectors,0.5
2014,International Bunkers,,0.0
2014,International Bunkers,Aviation,0.0
2014,International Bunkers,Navigation,0.0
2015,,,0.8
2015,Fuel combustion,,0.8
2015,Fuel combustion,Energy industries,0.1
2015,Fuel combustion,Manufacturing industries and construction,0.1
2015,Fuel combustion,Transport sector,0.1
2015,Fuel combustion,Other sectors,0.5
2015,International Bunkers,,0.0
2015,International Bunkers,Aviation,0.0
2015,International Bunkers,Navigation,0.0
2016,,,0.8
2016,Fuel combustion,,0.8
2016,Fuel combustion,Energy industries,0.1
2016,Fuel combustion,Manufacturing industries and construction,0.1
2016,Fuel combustion,Transport sector,0.1
2016,Fuel combustion,Other sectors,0.5
2016,International Bunkers,,0.0
2016,International Bunkers,Aviation,0.0
2016,International Bunkers,Navigation,0.0
2017,,,1.0
2017,Fuel combustion,,0.9
2017,Fuel combustion,Energy industries,0.1
2017,Fuel combustion,Manufacturing industries and construction,0.1
2017,Fuel combustion,Transport sector,0.2
2017,Fuel combustion,Other sectors,0.6
2017,International Bunkers,,0.1
2017,International Bunkers,Aviation,0.0
2017,International Bunkers,Navigation,0.1
2018,,,1.1
2018,Fuel combustion,,1.0
2018,Fuel combustion,Energy industries,0.1
2018,Fuel combustion,Manufacturing industries and construction,0.1
2018,Fuel combustion,Transport sector,0.2
2018,Fuel combustion,Other sectors,0.7
2018,International Bunkers,,0.1
2018,International Bunkers,Aviation,0.0
2018,International Bunkers,Navigation,0.1
2019,,,1.1
2019,Fuel combustion,,1.1
2019,Fuel combustion,Energy industries,0.2
2019,Fuel combustion,Manufacturing industries and construction,0.1
2019,Fuel combustion,Transport sector,0.2
2019,Fuel combustion,Other sectors,0.7
2019,International Bunkers,,0.0
2019,International Bunkers,Aviation,0.0
2019,International Bunkers,Navigation,0.0
2020,,,1.2
2020,Fuel combustion,,1.1
2020,Fuel combustion,Energy industries,0.2
2020,Fuel combustion,Manufacturing industries and construction,0.1
2020,Fuel combustion,Transport sector,0.2
2020,Fuel combustion,Other sectors,0.7
2020,International Bunkers,,0.1
2020,International Bunkers,Aviation,0.0
2020,International Bunkers,Navigation,0.1
