Year,Series,energy source,Units,Energy source,Value
2006,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,740.7330581426701
2006,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,655.479267356718
2006,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,85.2537907859528
2006,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2006,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2006,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2007,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,741.009732107655
2007,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,655.724097860596
2007,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,85.2856342470586
2007,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2007,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2007,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2008,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,739.605447108165
2008,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,654.48143737379
2008,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,85.1240097343758
2008,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2008,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2008,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2009,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,736.9952635000569
2009,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,652.17166974522
2009,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,84.8235937548371
2009,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2009,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2009,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2010,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,735.6061386342569
2010,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,650.942424554537
2010,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,84.6637140797199
2010,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2010,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2010,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2011,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,736.919219538368
2011,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,652.104377972905
2011,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,84.8148415654632
