Year,Units,Series,Value
1998,pct.,Labour share of GDP,56.614478501087
1999,pct.,Labour share of GDP,57.021736367103
2000,pct.,Labour share of GDP,57.110230012985
2001,pct.,Labour share of GDP,57.997038325722
2002,pct.,Labour share of GDP,60.262255997616
2003,pct.,Labour share of GDP,61.151369980696
2004,pct.,Labour share of GDP,61.089497929006
2005,pct.,Labour share of GDP,61.523737325879
2006,pct.,Labour share of GDP,58.678856876162
2007,pct.,Labour share of GDP,59.406733737012
2008,pct.,Labour share of GDP,61.294973096891
2009,pct.,Labour share of GDP,61.038760571619
2010,pct.,Labour share of GDP,58.824022814964
2011,pct.,Labour share of GDP,58.054205135067
2012,pct.,Labour share of GDP,57.686973220954
2013,pct.,Labour share of GDP,55.122613098587
2014,pct.,Labour share of GDP,53.784821581432
2015,pct.,Labour share of GDP,53.580874285384
2016,pct.,Labour share of GDP,51.836499772946
2017,pct.,Labour share of GDP,52.489708797073
2018,pct.,Labour share of GDP,54.044241810199
2019,pct.,Labour share of GDP,54.294409533034
2020,pct.,Labour share of GDP,56.235473834158
2021,pct.,Labour share of GDP,54.430412797326
2022,pct.,Labour share of GDP,53.013436768499
