Year,Series,indicator,Units,Value
2003,Metallic minerals,Domestic material consumption,"1,000 tonnes",5.0811
2003,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.106083888343738
2003,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.514120063542816
2003,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",424.2379
2003,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",8.85729586404159
2003,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",42.9255901488399
2003,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",188.1653
2003,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.928540409629
2003,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",19.0390970444496
2004,Total,Domestic material consumption,"1,000 tonnes",1141.8991
2004,Total,Domestic material consumption per capita,"1,000 tonnes",23.679798849085
2004,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",111.577872016103
2004,Biomass,Domestic material consumption,"1,000 tonnes",536.0704
2004,Biomass,Domestic material consumption per capita,"1,000 tonnes",11.116603245373
2004,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",52.380805346830705
2004,Metallic minerals,Domestic material consumption,"1,000 tonnes",6.6865
2004,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.138659339519934
2004,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.653354960377561
2004,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",409.0415
2004,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",8.4823785577272
2004,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",39.9684877028757
2004,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",190.1006
2004,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.94215563274405
2004,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",18.5752142347642
2005,Total,Domestic material consumption,"1,000 tonnes",1201.5243
2005,Total,Domestic material consumption per capita,"1,000 tonnes",24.9229778363186
2005,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",114.20248075278
2005,Biomass,Domestic material consumption,"1,000 tonnes",475.0525
2005,Biomass,Domestic material consumption per capita,"1,000 tonnes",9.85391883342495
2005,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",45.1527896587777
2005,Metallic minerals,Domestic material consumption,"1,000 tonnes",4.0854
2005,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.084742633713272
2005,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.388309096093527
2005,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",533.0565
2005,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",11.0570841846524
2005,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",50.6659538066724
2005,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",189.33
2005,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.92723425880791
2005,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",17.9954376960365
2006,Total,Domestic material consumption,"1,000 tonnes",1333.3352
2006,Total,Domestic material consumption per capita,"1,000 tonnes",27.6677221887904
2006,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",111.289329594017
2006,Biomass,Domestic material consumption,"1,000 tonnes",547.2128
2006,Biomass,Domestic material consumption per capita,"1,000 tonnes",11.3550828992965
2006,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",45.674145299145295
2006,Metallic minerals,Domestic material consumption,"1,000 tonnes",2.5427
2006,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.052762964038928
2006,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.212231236645299
2006,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",621.2018
2006,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",12.8904110726069
2006,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",51.8497763087607
2006,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",162.3778
2006,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.36946317777178
2006,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",13.5531684027778
2007,Total,Domestic material consumption,"1,000 tonnes",1565.8372
2007,Total,Domestic material consumption per capita,"1,000 tonnes",32.4310757632244
2007,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",123.285530946626
2007,Biomass,Domestic material consumption,"1,000 tonnes",510.9557
