Year,Series,sex,age,Units,Value
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,4.3
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,3.6
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,3.6
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,3.3
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,3.2
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,3.1
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,2.6
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,2.5
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,2.4
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,2.6
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,2.4
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,2.3
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 55 - 66,pct.,2.6
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,2.9
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,2.5
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,2.6
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,2.5
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.7
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.9
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.9
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,2.1
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,2.1
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.2
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.1
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,0.8
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,0.6
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.1
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 67 + ,pct.,1.2
