Year,Series,sex,age,Units,Value
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 25 - 54,pct.,2.7
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 25 - 54,pct.,2.6
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 25 - 54,pct.,3.1
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,3.6
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,3.4
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,3.4
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,3.7
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,3.1
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,3.1
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.7
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.7
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.3
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.2
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.0
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.1
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.0
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.0
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 55 - 66,pct.,2.2
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,2.9
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,2.5
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,2.8
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,2.3
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.7
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.9
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.8
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,2.3
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,2.3
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.4
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.3
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.0
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,0.9
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.3
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",,Age 67 + ,pct.,1.4
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,4.2
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,4.3
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,4.7
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,4.8
