Year,material type,Units,Series,Value
2004,MF3,TON,EN_MAT_DOMCMPT,409.0415
2004,MF3,TON,EN_MAT_DOMCMPC,8.48255446222121
2004,MF3,TON,EN_MAT_DOMCMPG,39.585172066736305
2004,MF4,TON,EN_MAT_DOMCMPT,222.0344
2004,MF4,TON,EN_MAT_DOMCMPC,4.60446896094066
2004,MF4,TON,EN_MAT_DOMCMPG,21.4874772577711
2005,MF0,TON,EN_MAT_DOMCMPT,1237.509
2005,MF0,TON,EN_MAT_DOMCMPC,25.6696674894729
2005,MF0,TON,EN_MAT_DOMCMPG,117.266085473325
2005,MF1,TON,EN_MAT_DOMCMPT,475.0506
2005,MF1,TON,EN_MAT_DOMCMPC,9.8539816216889
2005,MF1,TON,EN_MAT_DOMCMPG,45.015692220221695
2005,MF2,TON,EN_MAT_DOMCMPT,4.0854
2005,MF2,TON,EN_MAT_DOMCMPC,0.084743512622125
2005,MF2,TON,EN_MAT_DOMCMPG,0.387131621339903
2005,MF3,TON,EN_MAT_DOMCMPT,533.0565
2005,MF3,TON,EN_MAT_DOMCMPC,11.0571988632828
2005,MF3,TON,EN_MAT_DOMCMPG,50.5123187719132
2005,MF4,TON,EN_MAT_DOMCMPT,219.275
2005,MF4,TON,EN_MAT_DOMCMPC,4.54842456802672
2005,MF4,TON,EN_MAT_DOMCMPG,20.7784516251303
2006,MF0,TON,EN_MAT_DOMCMPT,1407.4273
2006,MF0,TON,EN_MAT_DOMCMPC,29.2048867538881
2006,MF0,TON,EN_MAT_DOMCMPG,117.298315650862
2006,MF1,TON,EN_MAT_DOMCMPT,547.211
2006,MF1,TON,EN_MAT_DOMCMPC,11.354927736219
2006,MF1,TON,EN_MAT_DOMCMPG,45.6058573012076
2006,MF2,TON,EN_MAT_DOMCMPT,2.5427
2006,MF2,TON,EN_MAT_DOMCMPC,0.052762416608738
2006,MF2,TON,EN_MAT_DOMCMPG,0.211914624084276
2006,MF3,TON,EN_MAT_DOMCMPT,621.2018
