Year,Slag av tilfari,Mát,Value
2019,Tilsamans,Innlendis tilfarsnýtsla,1614.5
2019,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,31.2
2019,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,74.1
2019,Biomassi,Innlendis tilfarsnýtsla,374.5
2019,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.2
2019,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,17.2
2019,Metalmálmur,Innlendis tilfarsnýtsla,26.2
2019,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.5
2019,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.2
2019,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,872.6
2019,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,16.9
2019,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,40.0
2019,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,341.3
2019,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,6.6
2019,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,15.7
2020,Tilsamans,Innlendis tilfarsnýtsla,1857.9
2020,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,35.4
2020,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,87.6
2020,Biomassi,Innlendis tilfarsnýtsla,415.6
2020,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.9
2020,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,19.6
2020,Metalmálmur,Innlendis tilfarsnýtsla,24.1
2020,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.5
2020,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.1
2020,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1042.0
2020,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,19.8
2020,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,49.1
2020,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,376.2
2020,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.2
2020,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,17.7
