Year,Slag av tilfari,Mát,Value
2002,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,232.9
2002,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.9
2002,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,23.1
2003,Tilsamans,Innlendis tilfarsnýtsla,1224.7
2003,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,25.6
2003,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,123.9
2003,Biomassi,Innlendis tilfarsnýtsla,565.8
2003,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,11.8
2003,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,57.3
2003,Metalmálmur,Innlendis tilfarsnýtsla,5.1
2003,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2003,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.5
2003,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,424.2
2003,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.9
2003,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,42.9
2003,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,229.5
2003,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.8
2003,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,23.2
2004,Tilsamans,Innlendis tilfarsnýtsla,1180.3
2004,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,24.5
2004,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,115.3
2004,Biomassi,Innlendis tilfarsnýtsla,536.1
2004,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,11.1
2004,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,52.4
2004,Metalmálmur,Innlendis tilfarsnýtsla,6.7
2004,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2004,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.7
2004,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,409.0
2004,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.5
2004,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,40.0
2004,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,228.5
2004,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.7
2004,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,22.3
2005,Tilsamans,Innlendis tilfarsnýtsla,1237.5
2005,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,25.7
2005,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,117.6
2005,Biomassi,Innlendis tilfarsnýtsla,475.1
2005,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,9.9
2005,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,45.2
2005,Metalmálmur,Innlendis tilfarsnýtsla,4.1
2005,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2005,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.4
2005,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,533.1
2005,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,11.1
2005,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,50.7
2005,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,225.3
2005,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.7
2005,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,21.4
2006,Tilsamans,Innlendis tilfarsnýtsla,1407.4
2006,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,29.2
2006,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,117.5
2006,Biomassi,Innlendis tilfarsnýtsla,547.2
2006,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,11.4
2006,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,45.7
2006,Metalmálmur,Innlendis tilfarsnýtsla,2.5
2006,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2006,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.2
2006,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,621.2
2006,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,12.9
2006,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,51.8
2006,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,236.5
2006,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.9
2006,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,19.7
2007,Tilsamans,Innlendis tilfarsnýtsla,1662.6
2007,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,34.4
2007,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,130.9
2007,Biomassi,Innlendis tilfarsnýtsla,511.0
2007,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,10.6
2007,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,40.2
2007,Metalmálmur,Innlendis tilfarsnýtsla,2.5
2007,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2007,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.2
2007,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,894.2
2007,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,18.5
2007,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,70.4
2007,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,254.9
2007,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,5.3
2007,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,20.1
2008,Tilsamans,Innlendis tilfarsnýtsla,1561.2
2008,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,32.2
2008,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,123.1
2008,Biomassi,Innlendis tilfarsnýtsla,456.2
2008,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,9.4
